case_id,instance_seed,algorithm,solver_seed,solver_repeat,old_run_key,new_run_key,old_front_size,new_front_size,old_representative_hash,post_hoc_representative_hash,researched_representative_hash,post_hoc_changed,researched_changed,old_objectives,post_hoc_objectives,researched_objectives
S025,101,nsga2,1060000,0,S025:i101:nsga2:s1060000:r0:82602a539edf,S025:i101:nsga2:s1060000:r0:0af571025fef,26,6,999aa186d3a757ad,00067202d104ba35,65135c2ac04ebddd,True,True,"[3.8644428275259193, 3384.9466844336393, -0.8999999999999987]","[3.7820769374085934, 3489.988916416848, -0.8999999999999105]","[3.7782310955182665, 3396.7715155603187, -0.899999999999896]"
S025,101,nsga2,1060001,1,S025:i101:nsga2:s1060001:r1:48a97e340365,S025:i101:nsga2:s1060001:r1:c61cd53925a5,60,3,f335ef2b2e02bac8,34cbc8e2f1a32770,34a3dac60a388e41,True,True,"[4.248721038271519, 3872.396976376805, -0.8999999999999941]","[3.8332787750282065, 3394.244774450171, -0.8999999999998798]","[3.8015910683116587, 3204.482602950757, -0.8999999999998798]"
S025,101,nsga2,1060002,2,S025:i101:nsga2:s1060002:r2:df59021f69b3,S025:i101:nsga2:s1060002:r2:253684d5d126,32,9,e73730fb8e5a2ae5,e33aaea8a2367eb0,2a5d466217a99587,True,True,"[3.8652283928910434, 3560.77062395764, -0.8999999999999994]","[3.7869276229402375, 3472.4990627688426, -0.8999999999997864]","[3.8099294802661987, 3525.1618214134005, -0.8999999999997973]"
S025,101,nsga2_alns,1060000,0,S025:i101:nsga2_alns:s1060000:r0:1f78256760f1,S025:i101:nsga2_alns:s1060000:r0:e950c3866ff0,25,6,4c825fcad1e8fe39,a52061ac40dc9185,b58b5953ba841c4b,True,True,"[4.259889982336045, 3648.946953509684, -0.8999999999999998]","[3.7823262318370614, 3341.1862906051806, -0.89999999999972]","[3.765897851912105, 3535.2312444787335, -0.8999999999998044]"
S025,101,nsga2_alns,1060001,1,S025:i101:nsga2_alns:s1060001:r1:e91b733cd2f6,S025:i101:nsga2_alns:s1060001:r1:d464791de550,23,5,02cbde4f58f45bf7,b386b5f702738e88,f230895a11639f53,True,True,"[4.359049380010496, 3773.4337835245456, -0.8999999999999974]","[3.7766955013029775, 3298.036561896234, -0.8999999999998842]","[3.8128425400883366, 3350.881669754187, -0.8999999999997318]"
S025,101,nsga2_alns,1060002,2,S025:i101:nsga2_alns:s1060002:r2:fe10b818531a,S025:i101:nsga2_alns:s1060002:r2:2cab7dc17907,27,2,95edc45b44932cd0,a91c413bd812de57,e5e32e42c4083994,True,True,"[3.8750046476949795, 3416.2682952482483, -0.8999999999999955]","[3.7695641978996814, 3434.1741636114953, -0.8999999999998044]","[3.7963900044050263, 3180.914041441418, -0.8999999999997881]"
S025,101,nsga2_ls,1060000,0,S025:i101:nsga2_ls:s1060000:r0:3f5cc8ee6624,S025:i101:nsga2_ls:s1060000:r0:276d56f6d0a1,12,5,063216b8007fff1f,2c5f32fa93bace2a,ea64ee48da237370,True,True,"[4.323837164030483, 3786.277542510375, -0.8999999999999966]","[3.7988565151568663, 3278.319297759864, -0.8999999999999907]","[3.7880373391346183, 3587.276405989749, -0.8999999999998438]"
S025,101,nsga2_ls,1060001,1,S025:i101:nsga2_ls:s1060001:r1:60e37c9eaac4,S025:i101:nsga2_ls:s1060001:r1:545ac16af15b,34,5,b7966e4162f98724,b8e9b10ae18e400b,02db08c38395f6f6,True,True,"[4.26030859995126, 3674.7419147622495, -0.8999999999999965]","[3.7516406439765273, 3709.9226058921536, -0.8999999999998786]","[3.764849948865446, 3473.425800837145, -0.899999999999863]"
S025,101,nsga2_ls,1060002,2,S025:i101:nsga2_ls:s1060002:r2:dc17c916b88d,S025:i101:nsga2_ls:s1060002:r2:cadd1900234e,22,2,974831f3df296d80,67bbff99a9de56df,d2a409534531713b,True,True,"[4.225122696170107, 3821.6675133710714, -0.8999999999999997]","[3.8304582159823974, 3292.806140579625, -0.8999999999997318]","[3.804114699186192, 3220.770691148138, -0.8999999999999148]"
S025,102,nsga2,1070000,0,S025:i102:nsga2:s1070000:r0:dea0bcd62708,S025:i102:nsga2:s1070000:r0:578693c4831f,35,7,45765271704c7b5b,070701ff85c382d0,cf4f15ca7d92c072,True,True,"[4.249704482864697, 5270.936375710033, -0.8999999999999974]","[3.7993243688750984, 4502.1269902842105, -0.899999999999956]","[3.7825807265863522, 4492.659099318153, -0.8999999999996675]"
