run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,quality_precision,quality_effective_dimensions,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,f004bfeb0ef6bd44,500,500,budget_exhausted,513.0,13.0,269.0,500.0,467.0,500.0,48.0,50.0,45.0,70.0,56.0,9.60137937500258,6,6,v2_service_resolution,2,1.14445962301417,0.09647588304590173,3.787971384496303,3308.698174805985,-0.8999999999999773,0.8999999999999773,0.8999999999999773,1.0,0.16666666666666666,0.0,2.5920599000528455e-11,1018.7999999999743,30.303771075970424,0.0,0.0,124.0
S025:i101:nsga2_alns:s1060001:r1:6042496f55c9,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,4bb529504ddde22b,500,500,budget_exhausted,507.0,7.0,248.0,500.0,469.0,500.0,17.0,37.0,34.0,80.0,80.0,9.666293832997326,1,6,v2_service_resolution,2,1.0254672914000458,0.14291851463637376,3.792777138995903,3132.5275730429476,-0.8999999999999527,0.8999999999999527,0.8999999999999527,1.0,0.3333333333333333,0.0,5.3731241678178776e-11,1018.7999999999465,30.342217111967223,0.0,0.0,123.0
S025:i101:nsga2_alns:s1060002:r2:094a953d55dc,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,e315e9b7a2f04bfe,500,500,budget_exhausted,516.0,16.0,282.0,500.0,468.0,500.0,35.0,68.0,37.0,77.0,65.0,9.729145707999123,1,6,v2_service_resolution,2,0.9826868155979708,0.13851891530934232,3.803474235509807,3126.1152562577013,-0.899999999999744,0.8999999999997441,0.899999999999744,1.0,0.16666666666666666,0.0,2.8988722533540567e-10,1018.7999999997103,30.427793884078454,0.0,0.0,124.0
S025:i101:nsga2_ls:s1060000:r0:09278e7b2cfa,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,a7a66674d210ea2b,500,500,budget_exhausted,510.0,10.0,304.0,500.0,454.0,500.0,67.0,55.0,60.0,68.0,54.0,9.409048333996907,4,6,v2_service_resolution,2,0.7387329264325988,0.26460967258566515,3.7859999810272447,3561.2401549871156,-0.899999999999957,0.8999999999999571,0.899999999999957,1.0,0.16666666666666666,0.0,4.884270765614929e-11,1018.7999999999514,30.287999848217957,0.0,0.0,124.0
S025:i101:nsga2_ls:s1060001:r1:197ce3161490,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,01c9fc69dd180fac,500,500,budget_exhausted,507.0,7.0,280.0,500.0,459.0,500.0,42.0,57.0,58.0,66.0,57.0,9.606267625000328,10,6,v2_service_resolution,2,0.7805538220981851,0.3322902324606763,3.8141429131967914,3479.864306298446,-0.8999999999997318,0.8999999999997319,0.8999999999997318,1.0,0.16666666666666666,0.0,3.036433326997212e-10,1018.7999999996965,30.51314330557433,0.0,0.0,124.0
S025:i101:nsga2_ls:s1060002:r2:c3add9745d62,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,7884c5e5eb59f981,500,500,budget_exhausted,514.0,14.0,291.0,500.0,456.0,500.0,71.0,57.0,43.0,55.0,65.0,9.591414499998791,3,6,v2_service_resolution,2,0.8278079220587864,0.21275811266924563,3.804114699186192,3220.770691148138,-0.8999999999999148,0.8999999999999149,0.8999999999999148,1.0,0.16666666666666666,0.0,9.660539035394322e-11,1018.7999999999037,30.432917593489535,0.0,0.0,124.0
S025:i101:nsga2:s1060000:r0:513c3235cf92,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,86792f5e2cb2facb,500,500,budget_exhausted,523.0,23.0,0.0,500.0,478.0,500.0,,,,,,9.659044999978505,4,6,v2_service_resolution,2,1.110045945582947,0.08667515139238545,3.776208806656289,3236.131483802792,-0.8999999999998775,0.8999999999998776,0.8999999999998775,1.0,0.25,0.0,1.3876899629394757e-10,1018.7999999998614,30.20967045325031,0.0,0.0,123.0
S025:i101:nsga2:s1060001:r1:84611c72e3a3,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,79a364473f98711c,500,500,budget_exhausted,518.0,18.0,0.0,500.0,470.0,500.0,,,,,,9.927785792009672,4,6,v2_service_resolution,2,1.0958791397179761,0.09269847617271888,3.779728631726449,3278.3263643943264,-0.8999999999998763,0.8999999999998765,0.8999999999998763,1.0,0.25,0.0,1.4011192206453416e-10,1018.7999999998601,30.23782905381159,0.0,0.0,124.0
S025:i101:nsga2:s1060002:r2:308067de2de9,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,59f21ef06d457946,500,500,budget_exhausted,525.0,25.0,0.0,500.0,487.0,500.0,,,,,,9.742192791978596,9,6,v2_service_resolution,2,0.8085338782033683,0.31074711199877075,3.7987967130125497,3472.0286409919486,-0.8999999999999472,0.8999999999999473,0.8999999999999472,1.0,0.25,0.0,5.988454176986124e-11,1018.7999999999404,30.390373704100398,0.0,0.0,122.0
S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2_alns,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,39addb7adf8b04463b46092d64156fa37745fd195ce59ec4277071ff72fb0747,993f7e961e6bda07,500,500,budget_exhausted,509.0,9.0,272.0,500.0,471.0,500.0,45.0,55.0,24.0,82.0,66.0,9.226999333011918,4,4,v2_service_resolution,2,0.7792661178503261,0.2782620369599789,3.8022131957330743,4396.918488186386,-0.8999999999997628,0.8999999999997628,0.8999999999997628,1.0,0.25,0.0,2.750510930127348e-10,1043.099999999725,30.417705565864594,0.0,0.0,131.0
