case_id,instance_seed,point_id,F1,F2,F3
S025,101,1,3.7811120595503427,3410.099316768857,-0.8999999999997752
S025,101,2,3.813485706232993,3275.346791307033,-0.8999999999997058
S025,101,3,3.8645925974817033,3219.054435125229,-0.8999999999999472
S025,101,4,3.866133365658553,3189.957705160403,-0.8999999999998317
S025,101,5,3.866157442587559,3164.9323493221436,-0.8999999999997345
S025,101,6,3.901361148333627,3164.9239794928626,-0.8999999999997206
S025,101,7,3.931484384658823,3150.5269986381863,-0.8999999999999492
S025,101,8,3.939459347374934,3147.9366843257726,-0.8999999999999758
S025,101,9,3.9722941219852634,3142.587056972157,-0.8999999999999349
S025,101,10,3.9729932873749156,3110.0674062748963,-0.8999999999997531
S025,101,11,3.97362583384972,3105.0313541942796,-0.8999999999997531
