case_id,instance_seed,algorithm,solver_seed,solver_repeat,old_run_key,new_run_key,stored_representative_hash_old,stored_representative_hash_new,stored_representative_changed,stored_objectives_old,stored_objectives_new,old_front_size,new_front_size,old_representative_hash,post_hoc_representative_hash,researched_representative_hash,post_hoc_changed,researched_changed,old_objectives,post_hoc_objectives,researched_objectives
S025,101,nsga2,1060000,0,S025:i101:nsga2:s1060000:r0:0af571025fef,S025:i101:nsga2:s1060000:r0:513c3235cf92,65135c2ac04ebddd,86792f5e2cb2facb,True,"[3.7782310955182665, 3396.7715155603187, -0.899999999999896]","[3.776208806656289, 3236.131483802792, -0.8999999999998775]",6,4,41c4217996ae654b,65135c2ac04ebddd,86792f5e2cb2facb,True,True,"[3.84097582682699, 3116.600523201301, -0.8999999999999344]","[3.7782310955182665, 3396.7715155603187, -0.899999999999896]","[3.776208806656289, 3236.131483802792, -0.8999999999998775]"
S025,101,nsga2,1060001,1,S025:i101:nsga2:s1060001:r1:c61cd53925a5,S025:i101:nsga2:s1060001:r1:84611c72e3a3,34a3dac60a388e41,79a364473f98711c,True,"[3.8015910683116587, 3204.482602950757, -0.8999999999998798]","[3.779728631726449, 3278.3263643943264, -0.8999999999998763]",3,4,34a3dac60a388e41,34a3dac60a388e41,79a364473f98711c,False,True,"[3.8015910683116587, 3204.482602950757, -0.8999999999998798]","[3.8015910683116587, 3204.482602950757, -0.8999999999998798]","[3.779728631726449, 3278.3263643943264, -0.8999999999998763]"
S025,101,nsga2,1060002,2,S025:i101:nsga2:s1060002:r2:253684d5d126,S025:i101:nsga2:s1060002:r2:308067de2de9,2a5d466217a99587,59f21ef06d457946,True,"[3.8099294802661987, 3525.1618214134005, -0.8999999999997973]","[3.7987967130125497, 3472.0286409919486, -0.8999999999999472]",9,9,07e9cc0a951f4d9a,2a5d466217a99587,59f21ef06d457946,True,True,"[3.9165503947828064, 3202.8265871853137, -0.8999999999999867]","[3.8099294802661987, 3525.1618214134005, -0.8999999999997973]","[3.7987967130125497, 3472.0286409919486, -0.8999999999999472]"
S025,101,nsga2_alns,1060000,0,S025:i101:nsga2_alns:s1060000:r0:e950c3866ff0,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,b58b5953ba841c4b,f004bfeb0ef6bd44,True,"[3.765897851912105, 3535.2312444787335, -0.8999999999998044]","[3.787971384496303, 3308.698174805985, -0.8999999999999773]",6,6,3c74fd89c92538db,b58b5953ba841c4b,f004bfeb0ef6bd44,True,True,"[3.835411355551848, 3160.1239009975943, -0.8999999999998994]","[3.765897851912105, 3535.2312444787335, -0.8999999999998044]","[3.787971384496303, 3308.698174805985, -0.8999999999999773]"
S025,101,nsga2_alns,1060001,1,S025:i101:nsga2_alns:s1060001:r1:d464791de550,S025:i101:nsga2_alns:s1060001:r1:6042496f55c9,f230895a11639f53,4bb529504ddde22b,True,"[3.8128425400883366, 3350.881669754187, -0.8999999999997318]","[3.792777138995903, 3132.5275730429476, -0.8999999999999527]",5,1,b43c0bd499e0edb5,f230895a11639f53,4bb529504ddde22b,True,True,"[3.868583408882829, 3255.155237794424, -0.8999999999998799]","[3.8128425400883366, 3350.881669754187, -0.8999999999997318]","[3.792777138995903, 3132.5275730429476, -0.8999999999999527]"
S025,101,nsga2_alns,1060002,2,S025:i101:nsga2_alns:s1060002:r2:2cab7dc17907,S025:i101:nsga2_alns:s1060002:r2:094a953d55dc,e5e32e42c4083994,e315e9b7a2f04bfe,True,"[3.7963900044050263, 3180.914041441418, -0.8999999999997881]","[3.803474235509807, 3126.1152562577013, -0.899999999999744]",2,1,e5e32e42c4083994,e5e32e42c4083994,e315e9b7a2f04bfe,False,True,"[3.7963900044050263, 3180.914041441418, -0.8999999999997881]","[3.7963900044050263, 3180.914041441418, -0.8999999999997881]","[3.803474235509807, 3126.1152562577013, -0.899999999999744]"
S025,101,nsga2_ls,1060000,0,S025:i101:nsga2_ls:s1060000:r0:276d56f6d0a1,S025:i101:nsga2_ls:s1060000:r0:09278e7b2cfa,ea64ee48da237370,a7a66674d210ea2b,True,"[3.7880373391346183, 3587.276405989749, -0.8999999999998438]","[3.7859999810272447, 3561.2401549871156, -0.899999999999957]",5,4,8eaed734cc85679a,ea64ee48da237370,a7a66674d210ea2b,True,True,"[3.84493088779746, 3244.4800872849128, -0.8999999999999374]","[3.7880373391346183, 3587.276405989749, -0.8999999999998438]","[3.7859999810272447, 3561.2401549871156, -0.899999999999957]"
S025,101,nsga2_ls,1060001,1,S025:i101:nsga2_ls:s1060001:r1:545ac16af15b,S025:i101:nsga2_ls:s1060001:r1:197ce3161490,02db08c38395f6f6,01c9fc69dd180fac,True,"[3.764849948865446, 3473.425800837145, -0.899999999999863]","[3.8141429131967914, 3479.864306298446, -0.8999999999997318]",5,10,47475a3bec2a46ab,02db08c38395f6f6,01c9fc69dd180fac,True,True,"[3.79012860308098, 3203.7170042286757, -0.8999999999999259]","[3.764849948865446, 3473.425800837145, -0.899999999999863]","[3.8141429131967914, 3479.864306298446, -0.8999999999997318]"
S025,101,nsga2_ls,1060002,2,S025:i101:nsga2_ls:s1060002:r2:cadd1900234e,S025:i101:nsga2_ls:s1060002:r2:c3add9745d62,d2a409534531713b,7884c5e5eb59f981,True,"[3.804114699186192, 3220.770691148138, -0.8999999999999148]","[3.804114699186192, 3220.770691148138, -0.8999999999999148]",2,3,84a4f3f3dba3edd5,d2a409534531713b,7884c5e5eb59f981,True,True,"[3.915239986260351, 3181.1275645689275, -0.8999999999999492]","[3.804114699186192, 3220.770691148138, -0.8999999999999148]","[3.804114699186192, 3220.770691148138, -0.8999999999999148]"
S025,102,nsga2,1070000,0,S025:i102:nsga2:s1070000:r0:578693c4831f,S025:i102:nsga2:s1070000:r0:c5ff3dbd9cbc,cf4f15ca7d92c072,c0fae6ef316d4f45,True,"[3.7825807265863522, 4492.659099318153, -0.8999999999996675]","[3.843627466071017, 4130.391105934279, -0.8999999999996419]",7,5,21a16921c5413fd5,cf4f15ca7d92c072,c0fae6ef316d4f45,True,True,"[3.7874067625231387, 4181.937140326689, -0.8999999999998738]","[3.7825807265863522, 4492.659099318153, -0.8999999999996675]","[3.843627466071017, 4130.391105934279, -0.8999999999996419]"
S025,102,nsga2,1070001,1,S025:i102:nsga2:s1070001:r1:c99849cd6078,S025:i102:nsga2:s1070001:r1:0bde9eab69d2,eb7c8ef81e4d6946,7352d2ccc2506136,True,"[3.7953927513022796, 4137.98573759759, -0.8999999999997959]","[3.7377040876990657, 4287.332442652093, -0.8999999999994448]",5,6,8fcbe5fe2f2310c9,eb7c8ef81e4d6946,7352d2ccc2506136,True,True,"[3.823695799681695, 3974.410220794429, -0.8999999999998276]","[3.7953927513022796, 4137.98573759759, -0.8999999999997959]","[3.7377040876990657, 4287.332442652093, -0.8999999999994448]"
S025,102,nsga2,1070002,2,S025:i102:nsga2:s1070002:r2:1089cd02e7a7,S025:i102:nsga2:s1070002:r2:e7b9a0dd6932,922ff39154286394,52ca4cf98a9b541e,True,"[3.7363785538190766, 4154.9275551653245, -0.8999999999996675]","[3.738532994717418, 4352.99428529219, -0.8999999999999636]",4,4,922ff39154286394,922ff39154286394,52ca4cf98a9b541e,False,True,"[3.7363785538190766, 4154.9275551653245, -0.8999999999996675]","[3.7363785538190766, 4154.9275551653245, -0.8999999999996675]","[3.738532994717418, 4352.99428529219, -0.8999999999999636]"
S025,102,nsga2_alns,1070000,0,S025:i102:nsga2_alns:s1070000:r0:df59e4e56ddd,S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,c5b7ad02f58f763d,993f7e961e6bda07,True,"[3.8131442487131864, 4427.420787725893, -0.8999999999996675]","[3.8022131957330743, 4396.918488186386, -0.8999999999997628]",3,4,f2b4af1facc37cd8,c5b7ad02f58f763d,993f7e961e6bda07,True,True,"[3.9137119286669257, 3897.8099428498795, -0.8999999999999699]","[3.8131442487131864, 4427.420787725893, -0.8999999999996675]","[3.8022131957330743, 4396.918488186386, -0.8999999999997628]"
S025,102,nsga2_alns,1070001,1,S025:i102:nsga2_alns:s1070001:r1:12584daf0014,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,44685041df29e540,a4f9dca07f8e63f5,True,"[3.8107953202581526, 4203.881999441563, -0.899999999999507]","[3.788933197713143, 4220.937094876897, -0.8999999999999098]",2,5,6c7c5b513182642b,44685041df29e540,a4f9dca07f8e63f5,True,True,"[3.8697905176918903, 3898.334668497569, -0.8999999999999895]","[3.8107953202581526, 4203.881999441563, -0.899999999999507]","[3.788933197713143, 4220.937094876897, -0.8999999999999098]"
S025,102,nsga2_alns,1070002,2,S025:i102:nsga2_alns:s1070002:r2:f95d2655f9ad,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,4a8b1acb824a0b43,d45b31b9e05f2b75,True,"[3.846399970987175, 4119.828058561817, -0.8999999999996675]","[3.852280567660639, 4495.76864880773, -0.8999999999997959]",3,6,350e88073d604a05,4a8b1acb824a0b43,d45b31b9e05f2b75,True,True,"[3.9156367138379267, 3864.2874895320147, -0.8999999999998184]","[3.846399970987175, 4119.828058561817, -0.8999999999996675]","[3.852280567660639, 4495.76864880773, -0.8999999999997959]"
S025,102,nsga2_ls,1070000,0,S025:i102:nsga2_ls:s1070000:r0:a80098a5ae05,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,ec065f8e9dd46eaa,b733dbadcfd3c0a4,True,"[3.835190791619275, 4293.445523245996, -0.899999999999769]","[3.81732735323798, 4517.635684704155, -0.8999999999996675]",4,10,b5a5af8a86bc5192,ec065f8e9dd46eaa,b733dbadcfd3c0a4,True,True,"[3.877481054816868, 4120.272451952157, -0.8999999999999898]","[3.835190791619275, 4293.445523245996, -0.899999999999769]","[3.81732735323798, 4517.635684704155, -0.8999999999996675]"
S025,102,nsga2_ls,1070001,1,S025:i102:nsga2_ls:s1070001:r1:5a3514a34e2c,S025:i102:nsga2_ls:s1070001:r1:c070df74cacd,e6ad9716c46951bf,b69b26b6d2ab9b05,True,"[3.7454803356956043, 4353.16727447131, -0.8999999999996519]","[3.777080445840996, 3972.2816084029223, -0.8999999999998732]",3,2,af8232cbf023f468,e6ad9716c46951bf,b69b26b6d2ab9b05,True,True,"[3.803419269955603, 3835.8027969192394, -0.899999999999684]","[3.7454803356956043, 4353.16727447131, -0.8999999999996519]","[3.777080445840996, 3972.2816084029223, -0.8999999999998732]"
