case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,full_run_key,simplified_run_key,delta_hv,delta_igd,representative_relation,representative_delta_F1,representative_delta_F2,representative_delta_F3
S025,corridor,binding,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC1:6abe6f291736,S025@corridor@binding:i101:nsga2:s1060000:r0:PR0_HT1_EC1:8353cfdc536a,0.10774804716403985,0.14217197906223283,Full_dominates,0.025976781227249113,107.11483799822713,0.0
S025,corridor,binding,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC1:6abe6f291736,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT0_EC1:3856e2908251,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,binding,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC1:6abe6f291736,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC0:854b0a538e45,0.020094237114845148,0.07810337796605006,Full_dominates,0.013052560816761982,233.57697293135107,0.0
S025,corridor,binding,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC1:a1f1bd291f41,S025@corridor@binding:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4b9ec6e4ad81,0.10774804716403985,0.14217197906223283,Full_dominates,0.025976781227249113,107.11483799822713,0.0
S025,corridor,binding,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC1:a1f1bd291f41,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT0_EC1:9b2b37d019cc,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,binding,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC1:a1f1bd291f41,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC0:41a513b2b48a,0.020094237114845148,0.07810337796605006,Full_dominates,0.013052560816761982,224.62308208824993,0.0
S025,corridor,binding,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC1:d5a7da3e9b05,S025@corridor@binding:i102:nsga2:s1070000:r0:PR0_HT1_EC1:e5cad6c85852,0.009619966273985259,0.040321583080962814,simplified_dominates,-0.07506809994717134,-14.386750030958865,-0.05235602094240832
S025,corridor,binding,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC1:d5a7da3e9b05,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT0_EC1:75cc4e2aff9b,0.022563363525129887,0.019081848713269886,tradeoff,-0.02746500363308879,36.64974265564342,0.0
S025,corridor,binding,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC1:d5a7da3e9b05,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC0:6d64fbb47f71,0.06822876690353474,0.03797147922811844,tradeoff,0.1841779656164455,-121.3437567848232,0.14998119811402622
S025,corridor,binding,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC1:4bf2708ae859,S025@corridor@binding:i102:nsga2:s1070001:r1:PR0_HT1_EC1:e7f73c353cd1,0.016045437711110833,0.03753271483973155,same,0.0,0.0,0.0
S025,corridor,binding,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC1:4bf2708ae859,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT0_EC1:d952fda92850,0.007935933658231364,0.009303975836991068,tradeoff,0.07177359184671239,-16.177426210443627,0.07853403141361248
S025,corridor,binding,102,1070001,1,PR1_HT1_EC0,No-EC,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC1:4bf2708ae859,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC0:1400af4ac24c,0.053219437707330175,0.01680894780332242,tradeoff,0.2834165610962467,-122.35590075631535,0.2285152295276387
S025,corridor,inactive,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC1:936edd1f2272,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR0_HT1_EC1:695392aa124e,0.06162082146935868,0.2308540870287917,Full_dominates,0.21858763706634043,289.71794590890295,0.044700754236382756
S025,corridor,inactive,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC1:936edd1f2272,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b339f64ad983,0.024197394345680745,0.019799972185147747,tradeoff,0.004506162645254719,-21.570223064199126,-2.3425705819590803e-14
S025,corridor,inactive,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC1:936edd1f2272,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC0:a86ce6b22107,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,inactive,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC1:67564d14e5f7,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4033821e0b6c,0.06841835087589945,0.23227047429669645,Full_dominates,0.21858763706634043,306.3498830473063,0.044700754236382756
S025,corridor,inactive,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC1:67564d14e5f7,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT0_EC1:6b766fe2ff8b,0.025560027210067615,0.02982103369016751,tradeoff,0.004506162645254719,-4.938285925795753,-2.3425705819590803e-14
S025,corridor,inactive,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC1:67564d14e5f7,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC0:8bbc9a1f3321,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,inactive,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC1:5ea31455e620,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR0_HT1_EC1:b000292d4414,0.04704846562879461,0.0761062902605238,tradeoff,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC1:5ea31455e620,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT0_EC1:d467400fa28a,0.031111216232407257,0.043671846602678824,tradeoff,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC1:5ea31455e620,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC0:bac39318c609,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,inactive,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC1:92d9f9fb0c34,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR0_HT1_EC1:058a193aaa0a,0.05193074473857434,0.0872335444229914,tradeoff,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC1:92d9f9fb0c34,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT0_EC1:2dd37455a867,0.040219960223432216,0.06438638032521575,tradeoff,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,1070001,1,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC1:92d9f9fb0c34,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC0:a0d4a79acbb1,0.0,0.0,same,0.0,0.0,0.0
S025,corridor,transition,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC1:85955ada0066,S025@corridor@transition:i101:nsga2:s1060000:r0:PR0_HT1_EC1:e4e07a86b37e,0.06218581545636248,0.044069143105514116,tradeoff,0.007598784194529529,-138.94865365926694,0.0
S025,corridor,transition,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC1:85955ada0066,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT0_EC1:0d714d56d220,0.0006214592569359079,0.005230257534500168,tradeoff,0.007598784194529529,-11.515362923582643,0.0
S025,corridor,transition,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC1:85955ada0066,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC0:7d29063592f4,0.2030362796886055,0.09610186737309426,Full_dominates,0.01802320425384174,9.419162685995161,0.0
S025,corridor,transition,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR0_HT1_EC1:ff8fa5c2dc8c,0.06878853652078432,0.062160735128701926,tradeoff,0.007598784194529529,-138.94865365926694,0.0
S025,corridor,transition,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT0_EC1:7bff5436b0c7,0.001286442999890891,0.007497241252217405,same,0.0,0.0,0.0
S025,corridor,transition,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC0:fcee649143dd,0.09613386842876526,0.07371839160514569,tradeoff,0.02562198844837038,-174.62872629749063,0.0
