case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,algorithm,evaluations,termination_reason,saved_front_size,execution_front_size,representative_hash,representative_F1,representative_F2,representative_F3,final_total_satisfaction,final_min_satisfaction,zero_service_ratio,remaining_supply,hypervolume,igd
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,33,12,741f40313babe82b,2.6575653862140713,160089.83333333334,-0.1825652018596884,0.7973068745570517,0.1825652018596884,0.0,0.0,0.31030499097632513,0.31623520023591045
WEN38,benchmark,original,1,60000,0,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,28,18,823b3154a1b29d06,2.462430999719607,143920.33333333334,-0.445542109163398,0.7973068745570517,0.445542109163398,0.0,0.0,0.9082839914892142,0.08170786873114214
WEN38,benchmark,original,1,60000,0,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,18,18,b12291b3eff8fca1,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391,0.0,0.0,0.7587133722673284,0.21440182344661587
WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,18,18,b12291b3eff8fca1,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391,0.0,0.0,0.7587133722673284,0.21440182344661587
WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,33,9,7660a3b94feb8f4b,2.7759439230948706,157169.66666666666,-0.0,0.7973068745570211,0.0,0.17142857142857143,3.4515323932282627e-10,0.25494176784590655,0.3422558265705055
WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,19,13,e51cc80a803239cc,2.7652941711196948,145185.33333333334,-0.33313902652480465,0.7973068745570037,0.33313902652480465,0.0,5.411493475548923e-10,0.4924320179438447,0.2651269882044447
WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,27,27,aacc90007cf45364,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574,0.0,0.0,0.7835471063531014,0.101906519547606
WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,nsga2,500,budget_exhausted,27,27,aacc90007cf45364,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574,0.0,0.0,0.7835471063531014,0.101906519547606
S025,corridor,binding,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@binding:i101:nsga2:s1060000:r0:PR0_HT1_EC1:8353cfdc536a,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,3,30a22335100b69a9,7.270942586699128,1140.7646644974393,-0.0,0.2712519981416009,0.0,0.5,413.71618522282665,0.5413159998332784,0.14217197906223283
S025,corridor,binding,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT0_EC1:3856e2908251,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,5,dc514ff044302fc4,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.5,417.200000000071,0.6490640469973182,0.0
S025,corridor,binding,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC0:854b0a538e45,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,40,4,1cf0727b6e4aef4b,7.258018366288641,1267.2267994305632,-0.0,0.2811550151975684,0.0,0.5,407.20000000000005,0.6289698098824731,0.07810337796605006
S025,corridor,binding,101,1060000,0,PR1_HT1_EC1,Full,S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC1:6abe6f291736,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,5,dc514ff044302fc4,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.5,417.200000000071,0.6490640469973182,0.0
S025,corridor,binding,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@binding:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4b9ec6e4ad81,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,3,bbb6154797241ada,7.270942586699128,1140.7646644974393,-0.0,0.2712519981416009,0.0,0.5,413.71618522282665,0.5413159998332784,0.14217197906223283
S025,corridor,binding,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT0_EC1:9b2b37d019cc,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,5,07394de1f8455fb2,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.5,417.200000000071,0.6490640469973182,0.0
S025,corridor,binding,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC0:41a513b2b48a,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,39,4,cde6c0b29343e286,7.258018366288641,1258.272908587462,-0.0,0.2811550151975684,0.0,0.5,407.20000000000005,0.6289698098824731,0.07810337796605006
S025,corridor,binding,101,1060001,1,PR1_HT1_EC1,Full,S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC1:a1f1bd291f41,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,nsga2,500,budget_exhausted,5,5,07394de1f8455fb2,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.5,417.200000000071,0.6490640469973182,0.0
S025,corridor,binding,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@binding:i102:nsga2:s1070000:r0:PR0_HT1_EC1:e5cad6c85852,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,25,17,5ffdde9becab8ce4,4.592384595940473,4292.594230759734,-0.837696335078534,0.8905291424978491,0.837696335078534,0.0,7.226264274141286,0.3809078059027811,0.052057245510885745
S025,corridor,binding,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT0_EC1:75cc4e2aff9b,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,42,24,32ebd783f4016e89,4.6399876922545555,4343.630723446337,-0.7853403141361257,0.8774229826026985,0.7853403141361257,0.0,17.226264274141272,0.3679644086516365,0.03081751114319282
S025,corridor,binding,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC0:6d64fbb47f71,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,50,23,0d9d3152bdf41867,4.85163066150409,4185.63722400587,-0.6353591160220995,0.8082286132293023,0.6353591160220995,0.0,70.02156810604248,0.32229900527323163,0.049707141658041375
S025,corridor,binding,102,1070000,0,PR1_HT1_EC1,Full,S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC1:d5a7da3e9b05,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,36,36,bd3f4ce24defb3a5,4.667452695887644,4306.980980790693,-0.7853403141361257,0.877422982602798,0.7853403141361257,0.0,17.226264274065073,0.3905277721767664,0.011735662429922933
S025,corridor,binding,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@binding:i102:nsga2:s1070001:r1:PR0_HT1_EC1:e7f73c353cd1,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,23,17,ed538a0f27a004be,4.568214100407843,4307.993124762185,-0.8638743455497382,0.8970822224453796,0.8638743455497382,0.0,2.2262642741754632,0.37618914455133073,0.05049019931508457
S025,corridor,binding,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT0_EC1:d952fda92850,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,43,24,5e4396a853cb724f,4.6399876922545555,4291.815698551742,-0.7853403141361257,0.8774229826026985,0.7853403141361257,0.0,17.226264274141272,0.3842986486042102,0.022261460312344085
