case_id,scenario_family,zone,model_id,model,members,delta_hv,delta_igd,representative_delta_F1,representative_delta_F2,representative_delta_F3
S025,corridor,binding,PR0_HT1_EC1,No-PR,2,0.06029037457829395,0.09054956401129001,-0.005778634373168279,49.96073149137385,-0.01308900523560208
S025,corridor,binding,PR1_HT0_EC1,No-HT,2,0.007624824295840313,0.007096456137565238,0.0110771470534059,5.118079111299949,0.01963350785340312
S025,corridor,binding,PR1_HT1_EC0,No-EC,2,0.040409169710138804,0.05274679574088525,0.12342491208655404,53.62509936961561,0.09462410691041623
S025,corridor,inactive,PR0_HT1_EC1,No-PR,2,0.05725459567815677,0.15661609900225085,0.19868541541171103,52.78467268870486,0.02235037711815885
S025,corridor,inactive,PR1_HT0_EC1,No-HT,2,0.03027214950289696,0.03941980820080246,0.09164467820116817,-102.85941179784618,-4.424238753131249e-14
S025,corridor,inactive,PR1_HT1_EC0,No-EC,2,0.0,0.0,0.0,0.0,0.0
S025,corridor,transition,PR0_HT1_EC1,No-PR,2,0.05736328963016038,0.0654576691449754,0.09523510725265494,-178.14015723219552,-1.6819878823071122e-14
S025,corridor,transition,PR1_HT0_EC1,No-HT,2,0.014736141612217535,0.02942093099576046,0.10097692958009974,-33.82458163762152,-1.867950238931826e-14
S025,corridor,transition,PR1_HT1_EC0,No-EC,2,0.07443693508381292,0.04181505222622128,0.01295541645240239,-53.73593675508846,1.5709655798445965e-14
WEN38,benchmark,original,PR0_HT1_EC1,No-PR,1,0.4885068598990991,0.17109134190609704,0.08023119455770233,26374.583333333314,0.34769748791950406
WEN38,benchmark,original,PR1_HT0_EC1,No-HT,1,0.07077223459368542,0.015263256970682482,-0.02266087467711775,12297.666666666657,0.049639521005246934
WEN38,benchmark,original,PR1_HT1_EC0,No-EC,1,0.0,0.0,0.0,0.0,0.0
