run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,quality_precision,quality_effective_dimensions,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025@corridor@binding:i101:nsga2:s1060000:r0:PR0_HT1_EC1:8353cfdc536a,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,de8b8e8a34ece7f905423c9621cbf8d1a1d8961cc2c69f808b39887881b58fb8,30a22335100b69a9,500,500,budget_exhausted,521.0,21.0,0.0,500.0,446.0,500.0,,,,,,4.84580479102442,5,,,,,,7.244965805471891,1025.9576283076326,-0.0,0.26595744680840006,0.0,0.5555555555555556,0.25,0.5,417.2000000000728,174.99999999992724,57.959726443775125,0.0,1779.1875,21.0
S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT0_EC1:3856e2908251,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,20ebd73a2a1187f31d4627f21616478e6c3c33883daf0b50ae2cbc6aba42f775,dc514ff044302fc4,500,500,budget_exhausted,521.0,21.0,0.0,500.0,445.0,500.0,,,,,,5.432774332992267,5,,,,,,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.7037037037037037,0.25,0.5,417.200000000071,174.99999999992906,57.95972644377503,0.0,2775.1875,21.0
S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC0:854b0a538e45,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,b804b0bc9aee9949b649092388424f1532bed4a0320656bce8da3ecd7d67d5c5,1cf0727b6e4aef4b,500,500,budget_exhausted,521.0,21.0,0.0,500.0,469.0,500.0,,,,,,1.550444708991563,40,,,,,,4.528251717410251,5050.013104580583,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@binding:i101:nsga2:s1060000:r0:PR1_HT1_EC1:6abe6f291736,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,3db3e16c9e8b69de801b09fab80fce6ef5ba042230707f3cdbc933e0743523e8,dc514ff044302fc4,500,500,budget_exhausted,521.0,21.0,0.0,500.0,445.0,500.0,,,,,,4.981543208006769,5,,,,,,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.7037037037037037,0.25,0.5,417.200000000071,174.99999999992906,57.95972644377503,0.0,2775.1875,21.0
S025@corridor@binding:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4b9ec6e4ad81,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,de8b8e8a34ece7f905423c9621cbf8d1a1d8961cc2c69f808b39887881b58fb8,bbb6154797241ada,500,500,budget_exhausted,527.0,27.0,0.0,500.0,454.0,500.0,,,,,,4.728794458002085,5,,,,,,7.244965805471891,1025.9576283076326,-0.0,0.26595744680840006,0.0,0.5555555555555556,0.25,0.5,417.2000000000728,174.99999999992724,57.959726443775125,0.0,1779.1875,21.0
S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT0_EC1:9b2b37d019cc,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,20ebd73a2a1187f31d4627f21616478e6c3c33883daf0b50ae2cbc6aba42f775,07394de1f8455fb2,500,500,budget_exhausted,527.0,27.0,0.0,500.0,456.0,500.0,,,,,,5.714427917002467,5,,,,,,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.7037037037037037,0.25,0.5,417.200000000071,174.99999999992906,57.95972644377503,0.0,2775.1875,21.0
S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC0:41a513b2b48a,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,b804b0bc9aee9949b649092388424f1532bed4a0320656bce8da3ecd7d67d5c5,cde6c0b29343e286,500,500,budget_exhausted,527.0,27.0,0.0,500.0,470.0,500.0,,,,,,1.5373566249909345,39,,,,,,4.528251717410251,5033.3811674421795,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@binding:i101:nsga2:s1060001:r1:PR1_HT1_EC1:a1f1bd291f41,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,645b3a3c554829d2bd7eb3bdb04173d87542d672d7bd6ed69c292de4d1047953,3db3e16c9e8b69de801b09fab80fce6ef5ba042230707f3cdbc933e0743523e8,07394de1f8455fb2,500,500,budget_exhausted,527.0,27.0,0.0,500.0,456.0,500.0,,,,,,5.190775333001511,5,,,,,,7.244965805471879,1033.6498264992122,-0.0,0.26595744680840283,0.0,0.7037037037037037,0.25,0.5,417.200000000071,174.99999999992906,57.95972644377503,0.0,2775.1875,21.0
S025@corridor@binding:i102:nsga2:s1070000:r0:PR0_HT1_EC1:e5cad6c85852,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,34877783eec7440b56376c5b8b4077ab80c8132f98c7afd480fcfa11ca04dfaa,5ffdde9becab8ce4,500,500,budget_exhausted,529.0,29.0,0.0,500.0,470.0,500.0,,,,,,4.383497750008246,25,,,,,,5.133333707910856,3558.7017038626827,-0.7068062827225131,0.8212886727610208,0.7068062827225131,0.7777777777777778,0.375,0.0,60.0567426833412,626.6432573166588,41.066669663286845,0.0,2025.400285802202,63.0
S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT0_EC1:75cc4e2aff9b,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,8ddaf5e0d22d5e7800a00a44f6a13d1ecd33623ff23765fb2b1f88170e3611d7,32ebd783f4016e89,500,500,budget_exhausted,529.0,29.0,0.0,500.0,464.0,500.0,,,,,,5.007546082983026,42,,,,,,4.612104676948171,4293.190998286051,-0.7853403141361257,0.8774229826026985,0.7853403141361257,0.925925925925926,0.25,0.0,17.226264274141215,669.4737357258589,36.89683741558537,0.0,2853.702535178074,72.0
