zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,algorithm,model_id,evaluations,termination_reason,pareto_size,planning_F1,planning_F2,planning_F3
inactive,0.0025544869401794576,S025,101,1060000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,40,4.528251717410251,5050.013104580583,-0.8678714859436998
inactive,0.0025544869401794576,S025,101,1060000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,13,6.103297387295841,2744.4582868741086,-0.4878048780487805
inactive,0.0025544869401794576,S025,101,1060000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,29,4.0120175758104075,4094.9414227207953,-0.8678714859437232
inactive,0.0025544869401794576,S025,101,1060000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,40,4.528251717410251,5050.013104580583,-0.8678714859436998
inactive,0.0025544869401794576,S025,101,1060001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,39,4.528251717410251,5033.3811674421795,-0.8678714859436998
inactive,0.0025544869401794576,S025,101,1060001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,13,6.103297387295841,2744.4582868741086,-0.4878048780487805
inactive,0.0025544869401794576,S025,101,1060001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,29,4.0120175758104075,4094.9414227207953,-0.8678714859437232
inactive,0.0025544869401794576,S025,101,1060001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,39,4.528251717410251,5033.3811674421795,-0.8678714859436998
transition,0.00022938722595187606,S025,101,1060000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,13,6.811851414014816,1381.5544924120095,-0.0
transition,0.00022938722595187606,S025,101,1060000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,11,6.947164703648064,1131.8348304109577,-0.0
transition,0.00022938722595187606,S025,101,1060000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,16,6.811851414014816,1356.8876780105995,-0.0
transition,0.00022938722595187606,S025,101,1060000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,40,4.528251717410251,5050.013104580583,-0.8678714859436998
transition,0.00022938722595187606,S025,101,1060001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,16,6.811851414014816,1381.5544924120095,-0.0
transition,0.00022938722595187606,S025,101,1060001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,11,6.947164703648064,1131.8348304109577,-0.0
transition,0.00022938722595187606,S025,101,1060001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,17,6.811851414014816,1381.5544924120095,-0.0
transition,0.00022938722595187606,S025,101,1060001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,39,4.528251717410251,5033.3811674421795,-0.8678714859436998
binding,0.00014953487812212205,S025,101,1060000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,5,7.244965805471879,1033.6498264992122,-0.0
binding,0.00014953487812212205,S025,101,1060000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,5,7.244965805471891,1025.9576283076326,-0.0
binding,0.00014953487812212205,S025,101,1060000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,5,7.244965805471879,1033.6498264992122,-0.0
binding,0.00014953487812212205,S025,101,1060000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,40,4.528251717410251,5050.013104580583,-0.8678714859436998
binding,0.00014953487812212205,S025,101,1060001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,5,7.244965805471879,1033.6498264992122,-0.0
binding,0.00014953487812212205,S025,101,1060001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,5,7.244965805471891,1025.9576283076326,-0.0
binding,0.00014953487812212205,S025,101,1060001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,5,7.244965805471879,1033.6498264992122,-0.0
binding,0.00014953487812212205,S025,101,1060001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,39,4.528251717410251,5033.3811674421795,-0.8678714859436998
inactive,0.007862340528634104,S025,102,1070000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,50,4.211523217373897,4285.524384253617,-0.8755301794451508
inactive,0.007862340528634104,S025,102,1070000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,11,4.721005461811413,3379.002190434665,-0.8755301794452158
inactive,0.007862340528634104,S025,102,1070000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,11,3.724113106199151,3913.617939373897,-0.8999999999999353
inactive,0.007862340528634104,S025,102,1070000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,50,4.211523217373897,4285.524384253617,-0.8755301794451508
inactive,0.007862340528634104,S025,102,1070001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,42,4.211523217373897,4285.524384253617,-0.8755301794451508
inactive,0.007862340528634104,S025,102,1070001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,8,4.721005461811413,3379.002190434665,-0.8755301794452158
inactive,0.007862340528634104,S025,102,1070001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,8,3.724113106199151,3913.617939373897,-0.8999999999999353
inactive,0.007862340528634104,S025,102,1070001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,42,4.211523217373897,4285.524384253617,-0.8755301794451508
transition,0.0016781874534517343,S025,102,1070000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,45,4.2033467442665,4335.258567662476,-0.8755301794452136
transition,0.0016781874534517343,S025,102,1070000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,11,4.721005461811413,3379.002190434665,-0.8755301794452158
