overlay_type,overlay_seed,decision_id,decision_hash,threshold_sensitive_edge_periods,threshold_sensitive_od_periods,vehicle_access_set_changes,allocation_route_changed,allocation_vehicle_changed,allocation_amount_changed,allocation_trips_changed,allocation_pairing_changed,allocation_any_changed,delta_F1,delta_F2,delta_F3,F1,F2,F3,no_ht_F1,no_ht_F2,no_ht_F3,objective_changed,od_periods_considered
SR-A,1,spt,2dcac17970a2c069,6,88,0,0,0,0,0,0,0,0.0,0.0,0.0,2.750384528867655,189326.0,-0.0,2.750384528867655,189326.0,0.0,False,945
SR-A,1,random_0,8d40d32635ded60e,7,77,33,3,4,4,4,0,4,-0.10388934491530044,-34813.5,0.0,4.071961769227105,193701.83333333334,-0.0,3.9680724243118046,158888.33333333334,0.0,True,945
SR-A,1,random_1,931983b1cfc56e73,5,67,6,1,1,3,3,0,3,-0.00221474131821342,-2242.333333333343,0.0,2.954219777702474,151174.0,-0.0,2.9520050363842607,148931.66666666666,0.0,True,945
SR-A,1,random_2,9ba7f727ed7754d2,11,124,33,3,3,3,3,0,3,-0.08399263014261393,-59818.333333333314,0.0,3.05383133966719,219605.33333333334,-0.0,2.969838709524576,159787.00000000003,0.0,True,945
SR-A,1,random_3,1b522b8967324985,8,33,29,3,3,3,3,0,3,-0.08826477885090522,-28422.666666666657,-1.5476508963274682e-13,4.9167085328504765,185284.33333333334,-0.7537666810158044,4.828443753999571,156861.6666666667,-0.7537666810159591,True,945
SR-A,2,spt,622f673f7b00de7d,6,104,0,2,1,2,2,0,2,-0.0008858965272855457,-1640.0,0.0,2.4841466660399814,145737.0,-0.0,2.483260769512696,144097.0,0.0,True,945
SR-A,2,random_0,af10a63c8f0d3d81,6,84,12,1,1,1,1,0,1,0.0,-6186.0,0.0,2.5640480322392314,111133.16666666666,-0.0,2.5640480322392314,104947.16666666666,0.0,True,945
SR-A,2,random_1,0da01ecea6eb06b7,9,115,24,2,2,2,2,0,2,-0.005679303805108837,-5158.0,0.0,2.489044972133083,163883.0,-0.0,2.4833656683279743,158725.0,0.0,True,945
SR-A,2,random_2,c9d2cca74e8698da,6,61,2,1,1,2,1,0,2,-0.0008858965272855457,-4940.0,0.0,2.4758635301835277,139913.0,-0.0,2.474977633656242,134973.0,0.0,True,945
SR-A,2,random_3,4356f2135ec35c26,6,76,41,2,1,2,2,0,2,-0.0008858965272855457,-4363.666666666657,0.0,2.484132290905677,141737.0,-0.0,2.4832463943783916,137373.33333333334,0.0,True,945
SR-A,3,spt,b716b2a11d675167,6,62,0,2,2,2,2,0,2,-0.0015062518333044395,167.33333333334303,0.0,3.0130766525961388,213451.33333333334,-0.0,3.0115704007628343,213618.6666666667,0.0,True,945
SR-A,3,random_0,153214b2a250d8eb,8,107,12,2,2,2,2,0,2,-0.0019413302808892752,-10885.333333333314,-0.6316583388324943,3.513693394577972,249493.83333333334,-0.0,3.5117520642970828,238608.50000000003,-0.6316583388324943,True,945
SR-A,3,random_1,6c92374b1baae84e,10,185,72,3,3,3,3,0,3,-0.1874294868302382,-59466.0,0.0,2.700123018455245,281958.6666666667,-0.0,2.5126935316250067,222492.6666666667,0.0,True,945
SR-A,3,random_2,b47c0b820f965c3e,8,159,68,3,3,3,3,0,3,-0.024339908571403335,-38430.0,0.0,2.974302356700222,224156.0,-0.0,2.9499624481288187,185726.0,0.0,True,945
