overlay_type,overlay_seed,scenario_stratum,decisions_tested,decisions_with_exposure,decisions_with_dispatch_change,decisions_with_objective_change,num_threshold_sensitive_edges,num_threshold_sensitive_od_periods,mean_abs_delta_F1,max_abs_delta_F1,mean_abs_delta_F2,max_abs_delta_F2
SR-A,1,strong-natural-active,5,5,4,4,12,139,0.055672299045406604,0.10388934491530044,25059.36666666666,59818.333333333314
SR-A,2,strong-natural-active,5,5,5,5,12,144,0.0016673986773930948,0.005679303805108837,4457.533333333331,6186.0
SR-A,3,strong-natural-active,5,5,5,5,12,304,0.04311680390390826,0.1874294868302382,25132.13333333333,59466.0
SR-A,4,strong-natural-active,5,5,3,3,13,110,0.0003543586108571972,0.001771793054285986,4497.53333333332,21216.333333333314
SR-A,5,strong-natural-active,5,5,4,4,13,219,0.0012553884900951217,0.006276942450475609,1966.1333333333255,4868.0
SR-A,6,strong-natural-active,5,5,4,4,13,147,0.01039779140088255,0.05198895700441275,10330.2,34160.33333333334
SR-A,7,strong-natural-active,5,5,5,5,15,137,0.0010632488948624896,0.003544451419741357,9900.533333333336,29378.66666666667
SR-A,8,strong-natural-active,5,5,5,5,10,270,0.03740958529872405,0.17359788928650577,15128.599999999995,39992.333333333314
SR-A,9,strong-natural-active,5,5,4,4,11,110,0.0005315379163713275,0.002657689581856637,23765.20000000001,59962.666666666686
SR-A,10,strong-natural-active,5,5,4,4,15,216,0.07286658183802004,0.1984483994164412,23019.5,53056.66666666666
SR-A,11,strong-natural-active,5,5,5,5,14,233,0.042586921370406115,0.20018845313485922,18177.63333333334,61604.66666666666
SR-A,12,strong-natural-active,5,5,3,3,12,268,0.061737456977641256,0.20729488778977379,9691.066666666675,31382.0
SR-A,13,strong-natural-active,5,5,4,4,15,226,0.0415978561808152,0.2001154398805447,18709.0,81445.0
SR-A,14,strong-natural-active,5,5,5,5,15,218,0.01972712460634298,0.07921668981214847,16076.133333333328,30669.0
SR-A,15,strong-natural-active,5,5,4,4,14,355,0.07027910671182643,0.13690873942235715,25347.299999999996,47828.66666666666
SR-A,16,strong-natural-active,5,5,4,4,15,177,5.5239416451158264e-05,0.0002761970822557913,7238.333333333331,17280.0
SR-A,17,strong-natural-active,5,5,5,5,12,261,0.00044294826364286164,0.0008858965272864339,14461.56666666667,29439.666666666686
SR-A,18,strong-natural-active,5,5,3,3,13,135,0.043325299643425554,0.10892236379492726,5627.466666666669,12325.333333333314
SR-A,19,strong-natural-active,5,5,5,5,13,238,0.031519066494794676,0.15493764289211676,20815.333333333343,52894.00000000003
SR-A,20,strong-natural-active,5,5,4,4,14,156,0.03105846498630882,0.15440642840425856,7006.933333333343,16382.0
SR-B,1,strong-natural-active,5,5,3,3,10,171,0.00528148397526067,0.025521523349017805,6511.066666666663,24950.0
SR-B,2,strong-natural-active,5,5,4,4,11,161,0.0003204319372014375,0.0008858965272855457,8550.000000000004,38689.33333333334
SR-B,3,strong-natural-active,5,5,5,5,12,282,0.00079730687455708,0.0017717930545710914,5906.999999999988,10635.333333333314
SR-B,4,strong-natural-active,5,5,4,4,12,303,0.00079730687455708,0.0022147413182143083,12555.866666666669,48002.66666666663
SR-B,5,strong-natural-active,5,5,4,4,12,90,0.00017717930545710914,0.0008858965272855457,5696.0000000000055,19232.666666666686
SR-B,6,strong-natural-active,5,5,5,5,12,145,0.0002657689581132772,0.0008858965272855457,5614.800000000006,14958.0
SR-B,7,strong-natural-active,5,5,4,4,14,295,0.000796979840231593,0.002213106146586874,4135.199999999992,11619.333333333328
SR-B,8,natural-active,5,5,1,1,11,24,0.0,0.0,77.06666666666861,385.33333333334303
SR-B,9,strong-natural-active,5,5,5,5,13,188,0.0006201275690713715,0.0013288447909287626,2412.333333333337,5882.666666666657
SR-B,10,strong-natural-active,5,5,4,4,15,240,0.0010245918526130993,0.002022321417524786,9083.666666666657,20176.0
SR-B,11,strong-natural-active,5,5,5,5,12,370,0.0326242392695348,0.06860456393842096,17332.533333333336,37110.333333333314
SR-B,12,strong-natural-active,5,5,5,5,11,131,0.0002657689581989864,0.0008858965272855457,4969.0,20620.333333333343
SR-B,13,strong-natural-active,5,5,4,4,11,214,0.009239077410506624,0.04442359399796203,4578.666666666669,11599.333333333343
SR-B,14,strong-natural-active,5,5,5,5,14,434,0.0008805152258368309,0.0022147413182143083,15239.666666666686,31631.0
SR-B,15,strong-natural-active,5,5,3,3,13,160,0.00035435861092398825,0.0017717930546199412,2131.4666666666685,4975.333333333343
SR-B,16,strong-natural-active,5,5,4,4,13,67,0.0003543586109142183,0.0008858965272855457,1156.4666666666628,2185.0
SR-B,17,strong-natural-active,5,5,4,4,15,215,0.0009344911092536101,0.0026576895815497714,5087.6,15072.666666666657
SR-B,18,strong-natural-active,5,5,3,3,12,73,0.0007087172218286142,0.0017717930545710914,8812.4,24606.0
SR-B,19,strong-natural-active,5,5,5,5,14,157,0.0006201275691141816,0.0013288447909278744,7660.733333333337,22305.99999999997
SR-B,20,strong-natural-active,5,5,5,5,13,170,0.0024895346076235112,0.0062250746626197895,9926.1,17270.0
SR-C,1,strong-natural-active,5,5,3,3,10,120,0.0002657689581857525,0.0013288447909287626,1108.4666666666744,4652.666666666686
SR-C,2,strong-natural-active,5,5,3,3,11,188,0.04906648545618708,0.13361508823615598,7847.866666666666,21568.0
SR-C,3,strong-natural-active,5,5,5,5,12,201,0.0018311897167189173,0.004872430900070945,5952.066666666686,12307.333333333372
SR-C,4,strong-natural-active,5,5,5,5,12,262,0.0640906774737319,0.0955102377020447,19528.966666666674,24283.0
SR-C,5,strong-natural-active,5,5,3,3,12,107,0.0,0.0,4320.8,20201.666666666686
SR-C,6,natural-active,5,5,2,2,12,156,0.00044294826364286164,0.0013288447909287626,2183.266666666663,10029.0
SR-C,7,strong-natural-active,5,5,5,5,14,305,0.015193881667553023,0.07286877049226526,26043.99999999999,40121.333333333314
SR-C,8,strong-natural-active,5,5,3,3,11,85,0.0,0.0,3608.5333333333315,14735.333333333314
SR-C,9,strong-natural-active,5,5,5,5,13,244,0.03764464139455814,0.18144543093510634,3909.7333333333254,7346.666666666657
SR-C,10,strong-natural-active,5,5,4,4,15,176,0.0014174344436898244,0.004429482636428617,12355.466666666664,32239.99999999994
SR-C,11,strong-natural-active,5,5,5,5,12,435,0.10081617894277466,0.27600295085461024,32582.399999999994,51354.0
SR-C,12,strong-natural-active,5,5,3,3,11,128,0.034833601296247615,0.17372505821753936,3606.5,16566.833333333343
SR-C,13,strong-natural-active,5,5,3,3,11,113,8.858965272864338e-05,0.00044294826364321693,2429.4666666666685,9631.333333333343
SR-C,14,strong-natural-active,5,5,5,5,14,295,0.002101072773837931,0.0044294826364277284,5452.66666666666,9624.000000000015
SR-C,15,strong-natural-active,5,5,3,3,13,171,0.0,0.0,1523.4666666666628,2795.999999999971
SR-C,16,strong-natural-active,5,5,5,5,13,78,0.0006169316775172185,0.0017717930545710914,972.9333333333373,1934.666666666657
SR-C,17,strong-natural-active,5,5,4,4,15,266,0.001496134226618384,0.003376412841173959,7352.533333333331,20066.0
SR-C,18,strong-natural-active,5,5,5,5,12,195,0.06735596259451401,0.18708511291911645,16139.833333333332,37688.0
SR-C,19,strong-natural-active,5,5,5,5,14,201,0.020527954406446548,0.05896471003102555,14685.799999999994,32215.666666666657
SR-C,20,strong-natural-active,5,5,3,3,13,57,8.858965272846575e-05,0.00044294826364232875,1494.1333333333314,7071.666666666657
