damage_id,u,v,is_bridge,edge_betweenness,edge_betweenness_time,od_pairs_total,od_shortest_path_usage_count,od_shortest_path_dependency_count,od_dependency_fraction,alternative_path_exists,od_disconnected_count,detour_ratio_mean,detour_ratio_max,detour_ratio_infinite_count,repair_time,repair_time_over_eta
0,1,17,False,0.1641773352299668,0.31578947368421056,105,39,39,0.37142857142857144,True,0,1.0786630423321124,1.4285714285714286,0,900.0,1.875
1,4,5,True,0.27311522048364156,0.27311522048364156,105,18,18,0.17142857142857143,False,18,1.0,1.0,18,180.0,0.375
2,11,12,True,0.052631578947368425,0.052631578947368425,105,3,3,0.02857142857142857,False,3,1.0,1.0,3,270.0,0.5625
3,11,18,False,0.16880037932669514,0.03982930298719772,105,3,3,0.02857142857142857,True,0,1.6807255276296196,2.4363636363636365,0,210.0,0.4375
4,13,14,True,0.10241820768136559,0.10241820768136559,105,6,6,0.05714285714285714,False,6,1.0,1.0,6,720.0,1.5
5,17,19,False,0.09115694642010432,0.05974395448079659,105,4,4,0.0380952380952381,True,0,2.1398441598487854,3.892857142857143,0,1080.0,2.25
6,17,22,False,0.1897107633949739,0.3869132290184922,105,46,46,0.4380952380952381,True,0,1.097375182296044,1.490909090909091,0,180.0,0.375
7,18,25,False,0.1725936462778568,0.012802275960170698,105,0,0,0.0,True,0,1.0,1.0,0,270.0,0.5625
8,22,24,False,0.1156235182550972,0.2745376955903272,105,11,11,0.10476190476190476,True,0,1.0723650113412506,1.2391304347826086,0,810.0,1.6875
9,24,30,False,0.08741109530583213,0.10668563300142248,105,5,4,0.0380952380952381,True,0,1.5193283166109253,2.0128205128205128,0,270.0,0.5625
10,26,28,True,0.10241820768136559,0.10241820768136559,105,6,6,0.05714285714285714,False,6,1.0,1.0,6,720.0,1.5
11,26,34,False,0.19973921289710767,0.15149359886201993,105,4,4,0.0380952380952381,True,0,1.3526597074793996,1.7912087912087913,0,1050.0,2.1875
12,28,29,True,0.052631578947368425,0.052631578947368425,105,3,3,0.02857142857142857,False,3,1.0,1.0,3,360.0,0.75
13,33,34,False,0.08926031294452348,0.05903271692745377,105,2,2,0.01904761904761905,True,0,1.2301423324150598,1.3611111111111112,0,180.0,0.375
14,34,35,False,0.0948316737790422,0.06258890469416785,105,1,1,0.009523809523809525,True,0,1.1914893617021276,1.1914893617021276,0,450.0,0.9375
15,36,37,False,0.05452821242294926,0.08677098150782361,105,8,8,0.0761904761904762,True,0,1.559026134479327,2.3793103448275863,0,330.0,0.6875
