damage_id,u,v,is_bridge,edge_betweenness,edge_betweenness_time,od_pairs_total,od_shortest_path_usage_count,od_shortest_path_dependency_count,od_dependency_fraction,alternative_path_exists,od_disconnected_count,detour_ratio_mean,detour_ratio_max,detour_ratio_infinite_count,repair_time,repair_time_over_eta,threshold_sensitive_periods,decisions_where_sensitive,decisions_tested,sensitive_od_periods,dispatch_changed_decisions,objective_changed_decisions,max_abs_delta_F1,max_abs_delta_F2,max_abs_delta_F3,structural_corridor,dynamic_threshold_corridor,operational_corridor,objective_binding_corridor,any_objective_effect_on_network
0,1,17,False,0.1641773352299668,0.31578947368421056,105,39,39,1.1142857142857143,True,0,1.0786630423321124,1.4285714285714286,0,900.0,1.875,19,19,20,1192,18,18,0.002747216691650234,41909.33333333334,0.0,True,True,True,True,True
1,4,5,True,0.27311522048364156,0.27311522048364156,105,18,18,0.5142857142857142,False,18,1.0,1.0,18,180.0,0.375,3,3,20,226,3,3,0.002747216691650234,20511.666666666642,0.0,True,True,True,True,True
2,11,12,True,0.052631578947368425,0.052631578947368425,105,3,3,0.08571428571428572,False,3,1.0,1.0,3,270.0,0.5625,4,4,20,305,4,4,0.0017717930545715355,41909.33333333334,0.0,True,True,True,True,True
3,11,18,False,0.16880037932669514,0.03982930298719772,105,3,3,0.08571428571428572,True,0,1.6807255276296196,2.4363636363636365,0,210.0,0.4375,1,1,20,84,1,1,0.0008858965272855457,41909.33333333334,0.0,True,True,True,True,True
4,13,14,True,0.10241820768136559,0.10241820768136559,105,6,6,0.17142857142857143,False,6,1.0,1.0,6,720.0,1.5,16,16,20,962,16,16,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
5,17,19,False,0.09115694642010432,0.05974395448079659,105,4,4,0.11428571428571428,True,0,2.1398441598487854,3.892857142857143,0,1080.0,2.25,21,20,20,1240,19,19,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
6,17,22,False,0.1897107633949739,0.3869132290184922,105,46,46,1.3142857142857143,True,0,1.097375182296044,1.490909090909091,0,180.0,0.375,3,3,20,233,3,3,0.0008858965272855457,41909.33333333334,0.0,True,True,True,True,True
7,18,25,False,0.1725936462778568,0.012802275960170698,105,0,0,0.0,True,0,1.0,1.0,0,270.0,0.5625,2,2,20,100,2,2,0.0008858965272859898,6287.333333333314,0.0,False,True,True,True,True
8,22,24,False,0.1156235182550972,0.2745376955903272,105,11,11,0.3142857142857143,True,0,1.0723650113412506,1.2391304347826086,0,810.0,1.6875,16,16,20,959,15,15,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
9,24,30,False,0.08741109530583213,0.10668563300142248,105,5,4,0.11428571428571428,True,0,1.5193283166109253,2.0128205128205128,0,270.0,0.5625,7,7,20,507,6,6,0.0017717930545715355,20294.0,0.0,True,True,True,True,True
10,26,28,True,0.10241820768136559,0.10241820768136559,105,6,6,0.17142857142857143,False,6,1.0,1.0,6,720.0,1.5,16,16,20,977,16,16,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
11,26,34,False,0.19973921289710767,0.15149359886201993,105,4,4,0.11428571428571428,True,0,1.3526597074793996,1.7912087912087913,0,1050.0,2.1875,20,20,20,1240,19,19,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
12,28,29,True,0.052631578947368425,0.052631578947368425,105,3,3,0.08571428571428572,False,3,1.0,1.0,3,360.0,0.75,4,4,20,281,4,4,0.053330970942039535,41909.33333333334,0.0,True,True,True,True,True
13,33,34,False,0.08926031294452348,0.05903271692745377,105,2,2,0.05714285714285714,True,0,1.2301423324150598,1.3611111111111112,0,180.0,0.375,3,3,20,176,3,3,0.0008858965272855457,13986.333333333328,0.0,True,True,True,True,True
14,34,35,False,0.0948316737790422,0.06258890469416785,105,1,1,0.02857142857142857,True,0,1.1914893617021276,1.1914893617021276,0,450.0,0.9375,9,9,20,657,8,8,0.002747216691650234,41909.33333333334,0.0,True,True,True,True,True
15,36,37,False,0.05452821242294926,0.08677098150782361,105,8,8,0.22857142857142856,True,0,1.559026134479327,2.3793103448275863,0,330.0,0.6875,6,6,20,423,6,6,0.053330970942039535,34372.66666666666,0.0,True,True,True,True,True
