decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
spt,1,0,1,17,0.0,0,,False
spt,1,1,4,5,0.0,0,,False
spt,1,2,11,12,0.0,0,,False
spt,1,3,11,18,0.0,0,,False
spt,1,4,13,14,0.0,0,,False
spt,1,5,17,19,0.0,0,,False
spt,1,6,17,22,0.0,0,,False
spt,1,7,18,25,0.0,0,,False
spt,1,8,22,24,0.0,0,,False
spt,1,9,24,30,0.0,0,,False
spt,1,10,26,28,0.0,0,,False
spt,1,11,26,34,0.0,0,,False
spt,1,12,28,29,0.0,0,,False
spt,1,13,33,34,0.0,0,,False
spt,1,14,34,35,0.0,0,,False
spt,1,15,36,37,0.0,0,,False
spt,2,0,1,17,0.0,0,,False
spt,2,1,4,5,1.0,4,1|2|3|4,False
spt,2,2,11,12,1.0,4,1|2|3|4,False
spt,2,3,11,18,1.0,4,1|2|3|4,False
spt,2,4,13,14,0.0,0,,False
spt,2,5,17,19,0.0,0,,False
spt,2,6,17,22,1.0,4,1|2|3|4,False
spt,2,7,18,25,1.0,4,1|2|3|4,False
spt,2,8,22,24,0.0,0,,False
spt,2,9,24,30,0.3333333333333333,1,1,True
spt,2,10,26,28,0.0,0,,False
spt,2,11,26,34,0.0,0,,False
spt,2,12,28,29,0.08333333333333333,0,,False
spt,2,13,33,34,1.0,4,1|2|3|4,False
spt,2,14,34,35,0.0,0,,False
spt,2,15,36,37,0.09090909090909091,0,,False
spt,3,0,1,17,0.0,0,,False
spt,3,1,4,5,1.0,4,1|2|3|4,False
spt,3,2,11,12,1.0,4,1|2|3|4,False
spt,3,3,11,18,1.0,4,1|2|3|4,False
spt,3,4,13,14,0.25,0,,False
spt,3,5,17,19,0.0,0,,False
spt,3,6,17,22,1.0,4,1|2|3|4,False
spt,3,7,18,25,1.0,4,1|2|3|4,False
spt,3,8,22,24,0.0,0,,False
spt,3,9,24,30,1.0,4,1|2|3|4,False
spt,3,10,26,28,0.20833333333333334,0,,False
spt,3,11,26,34,0.0,0,,False
spt,3,12,28,29,1.0,4,1|2|3|4,False
spt,3,13,33,34,1.0,4,1|2|3|4,False
spt,3,14,34,35,0.6666666666666666,2,1|2,True
spt,3,15,36,37,1.0,4,1|2|3|4,False
