decision_id,decision_hash,threshold_sensitive_edge_periods,threshold_sensitive_od_periods,vehicle_access_set_changes,allocation_route_changed,allocation_vehicle_changed,allocation_amount_changed,allocation_trips_changed,allocation_pairing_changed,allocation_any_changed,delta_F1,delta_F2,delta_F3,F1,F2,F3,no_ht_F1,no_ht_F2,no_ht_F3,objective_changed,od_periods_considered
spt,88ef6f54338132fd,6,59,0,0,0,0,0,0,0,0.0,0.0,0.0,2.4708827795161055,128436.0,-0.0,2.4708827795161055,128436.0,0.0,False,945
random_0,ec5d738aca2dfe6b,7,48,24,2,2,2,2,0,2,-0.053330970942039535,-34372.66666666666,0.0,2.807133338487488,147586.0,-0.0,2.7538023675454486,113213.33333333334,0.0,True,945
random_1,98ecc6978464b61a,5,56,9,1,1,2,2,0,2,0.0008858965272855457,-2883.333333333343,0.0,2.46935173543529,146895.83333333334,-0.0,2.4702376319625756,144012.5,0.0,True,945
random_2,fe53bbd210630cb1,11,87,21,2,2,2,2,0,2,-0.0017717930545715355,-5788.000000000029,0.0,2.4713775512307707,165490.33333333334,-0.0,2.469605758176199,159702.3333333333,0.0,True,945
random_3,f9fe56cd0558e8ee,8,42,18,1,3,1,3,0,3,0.0,-13986.333333333328,0.0,2.957922345398896,124107.83333333333,-0.0,2.957922345398896,110121.5,0.0,True,945
random_4,3284da598941f0c0,8,97,27,2,2,3,2,0,3,0.00044294826364232875,-16671.333333333343,0.0,2.5951756068106606,174614.33333333334,-0.0,2.595618555074303,157943.0,0.0,True,945
random_5,08ca310c6f5d98ce,6,27,12,2,2,2,2,0,2,-0.0008858965272855457,-3672.1666666666715,0.0,2.4673838051743737,131115.83333333334,-0.0,2.466497908647088,127443.66666666667,0.0,True,945
random_6,04c6c43bc92bb8fe,7,43,30,1,1,1,1,0,1,0.0,-20511.666666666642,0.0,2.688952675870632,148755.3333333333,-0.0,2.688952675870632,128243.66666666667,0.0,True,945
random_7,4635666d60907ed2,8,65,15,2,2,2,2,0,2,-0.0008858965272855457,-4909.666666666686,0.0,2.472942601366503,180640.33333333334,-0.0,2.4720567048392175,175730.66666666666,0.0,True,945
random_8,e7b97fda2adf0f7a,7,80,15,2,2,2,2,0,2,0.0,-4380.333333333343,0.0,2.526952703091016,119880.66666666669,-0.0,2.526952703091016,115500.33333333334,0.0,True,945
random_9,3b18f62afdfa7533,7,68,9,2,2,2,2,0,2,-0.00044294826364321693,-2080.333333333314,0.0,2.471994543560717,143427.5,-0.0,2.4715515952970737,141347.1666666667,0.0,True,945
random_10,f3759b752a57e5ed,8,64,15,0,1,0,1,0,1,0.0,-1348.0,0.0,2.5303528795187766,139559.66666666666,-0.0,2.5303528795187766,138211.66666666666,0.0,True,945
random_11,21cfb990e64dd669,6,63,9,1,1,1,1,0,1,0.0,-1210.6666666666715,0.0,2.612235069546344,118190.16666666667,-0.0,2.612235069546344,116979.5,0.0,True,945
random_12,a1f962d1b7bd3bc8,7,49,12,2,3,2,3,0,3,-0.0008858965272859898,-6287.333333333314,0.0,2.680781818049654,151455.66666666666,-0.0,2.679895921522368,145168.33333333334,0.0,True,945
random_13,aaaba4f515d5b78d,6,51,6,1,1,1,1,0,1,0.0,-469.0,0.0,2.5734130230233925,148410.66666666666,-0.0,2.5734130230233925,147941.66666666666,0.0,True,945
random_14,edfa0ad448957425,8,86,30,3,3,3,3,0,3,-0.002747216691650234,-17502.666666666657,0.0,2.5206714918614863,163397.0,-0.0,2.517924275169836,145894.33333333334,0.0,True,945
random_15,5d38a63cbdff0f95,11,84,24,2,4,2,4,0,4,-0.0008858965272855457,-41909.33333333334,0.0,2.6398695570280233,187983.0,-0.0,2.6389836605007377,146073.66666666666,0.0,True,945
random_16,6e1b9d50efd51dd9,6,33,12,1,1,1,1,0,1,0.0,-20670.00000000003,0.0,2.4710931816387776,174489.6666666667,-0.0,2.4710931816387776,153819.66666666666,0.0,True,945
random_17,5edb526f3e56ff8a,9,69,15,2,2,2,2,0,2,0.0,366.66666666668607,0.0,2.4722120143621913,119874.0,-0.0,2.4722120143621913,120240.66666666669,0.0,True,945
random_18,fc118bcb84cd142a,9,69,18,1,2,1,2,0,2,0.0,-20294.0,0.0,2.803263829953206,161791.6666666667,-0.0,2.803263829953206,141497.6666666667,0.0,True,945
