decision_id,period,supplier,demand,vehicle_feasibility_split,vehicle_path_split,vehicle_travel_time_split,reachable_vehicle_types,threshold_sensitive_edges_on_candidate_paths,best_travel_time_min,best_travel_time_by_vehicle
spt,5,1,34,False,True,True,1|2|3|4,1,301.33333333333337,1:301.333|2:338.0|3:338.0|4:338.0
spt,6,1,19,False,True,True,1|2|3|4,1,121.33333333333334,1:121.333|2:218.0|3:218.0|4:218.0
spt,6,1,25,False,True,True,1|2|3|4,1,153.33333333333334,1:153.333|2:186.0|3:186.0|4:186.0
random_0,2,1,28,True,False,False,1|2,1,223.33333333333334,1:223.333|2:223.333|3:inf|4:inf
random_0,2,2,28,True,False,False,1|2,1,153.33333333333334,1:153.333|2:153.333|3:inf|4:inf
random_0,2,3,28,True,False,False,1|2,1,203.33333333333334,1:203.333|2:203.333|3:inf|4:inf
random_0,3,1,19,False,True,True,1|2|3|4,1,133.33333333333334,1:133.333|2:252.0|3:252.0|4:252.0
random_0,3,1,25,False,True,True,1|2|3|4,1,165.33333333333334,1:165.333|2:220.0|3:220.0|4:220.0
random_0,3,1,34,True,False,False,1,1,323.33333333333337,1:323.333|2:inf|3:inf|4:inf
random_0,3,1,35,True,False,False,1,1,423.33333333333337,1:423.333|2:inf|3:inf|4:inf
random_0,3,1,37,True,False,False,1,1,455.33333333333337,1:455.333|2:inf|3:inf|4:inf
random_0,3,1,38,True,False,False,1,1,507.33333333333337,1:507.333|2:inf|3:inf|4:inf
random_0,3,2,34,True,False,False,1,1,253.33333333333334,1:253.333|2:inf|3:inf|4:inf
random_0,3,2,35,True,False,False,1,1,353.33333333333337,1:353.333|2:inf|3:inf|4:inf
random_0,3,2,37,True,False,False,1,1,385.33333333333337,1:385.333|2:inf|3:inf|4:inf
random_0,3,2,38,True,False,False,1,1,437.33333333333337,1:437.333|2:inf|3:inf|4:inf
random_0,3,3,34,True,False,False,1,1,303.33333333333337,1:303.333|2:inf|3:inf|4:inf
random_0,3,3,35,True,False,False,1,1,403.33333333333337,1:403.333|2:inf|3:inf|4:inf
random_0,3,3,37,True,False,False,1,1,435.33333333333337,1:435.333|2:inf|3:inf|4:inf
random_0,3,3,38,True,False,False,1,1,487.33333333333337,1:487.333|2:inf|3:inf|4:inf
random_0,5,3,37,False,True,True,1|2|3|4,1,246.66666666666669,1:246.667|2:276.0|3:276.0|4:276.0
random_0,5,3,38,False,True,True,1|2|3|4,1,298.6666666666667,1:298.667|2:328.0|3:328.0|4:328.0
random_0,6,1,14,True,False,False,1,1,89.33333333333334,1:89.333|2:inf|3:inf|4:inf
random_0,6,1,15,True,False,False,1,1,105.33333333333334,1:105.333|2:inf|3:inf|4:inf
random_0,6,1,24,False,True,True,1|2|3|4,1,110.66666666666667,1:110.667|2:110.667|3:110.667|4:114.0
random_0,6,1,27,False,True,True,1|2|3|4,1,134.66666666666669,1:134.667|2:134.667|3:134.667|4:138.0
random_0,6,1,30,False,True,True,1|2|3|4,1,174.66666666666669,1:174.667|2:174.667|3:174.667|4:178.0
random_0,6,1,31,False,True,True,1|2|3|4,1,202.66666666666669,1:202.667|2:202.667|3:202.667|4:206.0
random_0,6,2,14,True,False,False,1,1,207.33333333333334,1:207.333|2:inf|3:inf|4:inf
random_0,6,2,15,True,False,False,1,1,223.33333333333334,1:223.333|2:inf|3:inf|4:inf
random_0,6,3,14,True,False,False,1,1,257.33333333333337,1:257.333|2:inf|3:inf|4:inf
random_0,6,3,15,True,False,False,1,1,273.33333333333337,1:273.333|2:inf|3:inf|4:inf
random_0,7,1,29,True,False,False,1|2,1,214.66666666666669,1:214.667|2:214.667|3:inf|4:inf
random_0,7,2,29,True,False,False,1|2,1,178.66666666666669,1:178.667|2:178.667|3:inf|4:inf
random_0,7,3,29,True,False,False,1|2,1,228.66666666666669,1:228.667|2:228.667|3:inf|4:inf
random_1,2,1,14,True,False,False,1|2,1,52.66666666666667,1:52.667|2:52.667|3:inf|4:inf
random_1,2,1,15,True,False,False,1|2,1,68.66666666666667,1:68.667|2:68.667|3:inf|4:inf
random_1,2,1,34,True,False,False,1,1,329.33333333333337,1:329.333|2:inf|3:inf|4:inf
random_1,2,2,14,True,False,False,1|2,1,176.66666666666669,1:176.667|2:176.667|3:inf|4:inf
random_1,2,2,15,True,False,False,1|2,1,192.66666666666669,1:192.667|2:192.667|3:inf|4:inf
random_1,2,2,34,True,False,False,1,1,253.33333333333334,1:253.333|2:inf|3:inf|4:inf
random_1,2,3,14,True,False,False,1|2,1,226.66666666666669,1:226.667|2:226.667|3:inf|4:inf
random_1,2,3,15,True,False,False,1|2,1,242.66666666666669,1:242.667|2:242.667|3:inf|4:inf
random_1,2,3,34,True,False,False,1,1,303.33333333333337,1:303.333|2:inf|3:inf|4:inf
random_1,8,1,19,False,True,True,1|2|3|4,1,121.33333333333334,1:121.333|2:121.333|3:218.0|4:218.0
random_1,8,1,25,False,True,True,1|2|3|4,1,153.33333333333334,1:153.333|2:153.333|3:186.0|4:186.0
random_2,2,1,28,True,False,False,1|2,1,229.33333333333334,1:229.333|2:229.333|3:inf|4:inf
random_2,2,1,35,True,False,False,1|2,1,391.33333333333337,1:391.333|2:391.333|3:inf|4:inf
random_2,2,1,37,True,False,False,1|2,1,359.33333333333337,1:359.333|2:359.333|3:inf|4:inf
random_2,2,1,38,True,False,False,1|2,1,411.33333333333337,1:411.333|2:411.333|3:inf|4:inf
random_2,2,2,28,True,False,False,1|2,1,153.33333333333334,1:153.333|2:153.333|3:inf|4:inf
random_2,2,2,35,True,False,False,1|2,1,235.33333333333334,1:235.333|2:235.333|3:inf|4:inf
random_2,2,2,37,True,False,False,1|2,1,203.33333333333334,1:203.333|2:203.333|3:inf|4:inf
random_2,2,2,38,True,False,False,1|2,1,255.33333333333334,1:255.333|2:255.333|3:inf|4:inf
random_2,2,3,28,True,False,False,1|2,1,203.33333333333334,1:203.333|2:203.333|3:inf|4:inf
random_2,2,3,35,True,False,False,1|2,1,185.33333333333334,1:185.333|2:185.333|3:inf|4:inf
random_2,2,3,37,True,False,False,1|2,1,153.33333333333334,1:153.333|2:153.333|3:inf|4:inf
random_2,2,3,38,True,False,False,1|2,1,205.33333333333334,1:205.333|2:205.333|3:inf|4:inf
random_2,3,1,14,True,False,False,1|2,1,89.33333333333334,1:89.333|2:89.333|3:inf|4:inf
random_2,3,1,15,True,False,False,1|2,1,105.33333333333334,1:105.333|2:105.333|3:inf|4:inf
random_2,3,2,14,True,False,False,1|2,1,213.33333333333334,1:213.333|2:213.333|3:inf|4:inf
random_2,3,2,15,True,False,False,1|2,1,229.33333333333334,1:229.333|2:229.333|3:inf|4:inf
random_2,3,3,14,True,False,False,1|2,1,263.33333333333337,1:263.333|2:263.333|3:inf|4:inf
random_2,3,3,15,True,False,False,1|2,1,279.33333333333337,1:279.333|2:279.333|3:inf|4:inf
random_2,4,1,30,False,True,True,1|2|3|4,1,323.33333333333337,1:323.333|2:332.0|3:332.0|4:332.0
random_2,4,1,34,False,True,True,1|2|3|4,1,307.33333333333337,1:307.333|2:350.0|3:350.0|4:350.0
random_2,5,1,12,True,False,False,1|2|3,1,142.66666666666669,1:142.667|2:142.667|3:142.667|4:inf
random_2,5,1,18,False,True,True,1|2|3|4,1,345.33333333333337,1:345.333|2:384.0|3:384.0|4:384.0
random_2,5,1,19,False,True,True,1|2|3|4,1,133.33333333333334,1:133.333|2:236.0|3:236.0|4:236.0
random_2,5,1,25,False,True,True,1|2|3|4,1,165.33333333333334,1:165.333|2:204.0|3:204.0|4:204.0
random_2,5,2,12,True,False,False,1|2|3,1,298.6666666666667,1:298.667|2:298.667|3:298.667|4:inf
random_2,5,3,12,True,False,False,1|2|3,1,348.6666666666667,1:348.667|2:348.667|3:348.667|4:inf
random_2,6,1,19,False,True,True,1|2|3|4,1,86.66666666666667,1:86.667|2:86.667|3:86.667|4:230.0
random_2,6,1,25,False,True,True,1|2|3|4,1,118.66666666666667,1:118.667|2:118.667|3:118.667|4:198.0
random_2,6,2,19,False,True,True,1|2|3|4,1,156.66666666666669,1:156.667|2:156.667|3:156.667|4:182.0
random_2,6,3,19,False,True,True,1|2|3|4,1,206.66666666666669,1:206.667|2:206.667|3:206.667|4:232.0
random_3,3,1,34,True,False,False,1|2,1,219.66666666666669,1:219.667|2:219.667|3:inf|4:inf
random_3,3,2,34,True,False,False,1|2,1,176.66666666666669,1:176.667|2:176.667|3:inf|4:inf
random_3,3,3,34,True,False,False,1|2,1,226.66666666666669,1:226.667|2:226.667|3:inf|4:inf
random_3,4,1,28,True,False,False,1|2,1,189.33333333333334,1:189.333|2:189.333|3:inf|4:inf
random_3,4,1,29,True,False,False,1|2,1,217.33333333333334,1:217.333|2:217.333|3:inf|4:inf
random_3,4,2,28,True,False,False,1|2,1,153.33333333333334,1:153.333|2:153.333|3:inf|4:inf
random_3,4,2,29,True,False,False,1|2,1,181.33333333333334,1:181.333|2:181.333|3:inf|4:inf
random_3,4,3,28,True,False,False,1|2,1,203.33333333333334,1:203.333|2:203.333|3:inf|4:inf
random_3,4,3,29,True,False,False,1|2,1,231.33333333333334,1:231.333|2:231.333|3:inf|4:inf
random_3,5,1,35,True,False,False,1|2,1,373.33333333333337,1:373.333|2:373.333|3:inf|4:inf
random_3,5,1,37,True,False,False,1|2,1,341.33333333333337,1:341.333|2:341.333|3:inf|4:inf
random_3,5,1,38,True,False,False,1|2,1,393.33333333333337,1:393.333|2:393.333|3:inf|4:inf
random_3,5,2,35,True,False,False,1|2,1,235.33333333333334,1:235.333|2:235.333|3:inf|4:inf
random_3,5,2,37,True,False,False,1|2,1,203.33333333333334,1:203.333|2:203.333|3:inf|4:inf
