scenario,case_id,instance_seed,baseline_F1,baseline_F2,damaged_bridge_count,relax_fleet_changed_objective,relax_fleet_delta_F1,relax_supply_changed_objective,relax_supply_delta_F1,relax_road_capacity_changed_objective,relax_road_capacity_delta_F1
S025_random_random,S025,1,4.016589458738497,3234.6163944678465,0,True,-1.9898301319427736,True,-0.1643132230166371,False,0.0
S025_random_random,S025,2,4.174909266300697,2897.8329383245728,0,True,-2.0088454101703808,True,-0.06579330858406962,False,0.0
S025_random_random,S025,101,3.9813043899287135,3562.740785740176,0,True,-1.880872439010056,True,-0.165021877796248,False,0.0
S025_random_random,S025,102,4.167990112630252,4980.709780632783,0,True,-2.1153420017309337,True,-0.216645880293596,False,0.0
S025_corridor,S025,1,6.056499407797708,1335.70812225565,1,True,-0.2764597970155922,False,0.0,False,0.0
S025_corridor,S025,2,6.620772946861056,536.3550031105799,1,True,-0.13630089716932758,False,0.0,False,0.0
S025_corridor,S025,101,6.904635258359354,704.0078882202506,1,True,-0.09308510638168066,False,0.0,False,0.0
S025_corridor,S025,102,6.553482267747783,2453.77652327489,1,True,-0.8840367088925429,False,0.0,False,0.0
S050_benchmark,S050,1,4.742395120713695,7205.589854136342,0,True,-2.5228764093529703,True,0.02727999633491418,False,0.0
S050_benchmark,S050,2,4.391132428910318,7518.836487501337,0,True,-2.279609020159733,True,-0.07076473688154206,False,0.0
S050_benchmark,S050,101,4.220717180153874,7679.3135878205785,0,True,-2.1109763590246455,True,-0.10452655528545218,False,0.0
S050_benchmark,S050,102,4.416904101863129,8628.961532685697,0,True,-2.29595711410708,True,-0.014070976085506892,False,0.0
S050_corridor,S050,1,5.793938309282188,3313.944497466812,1,True,-0.2702167042509309,True,-0.002441750882567817,False,0.0
S050_corridor,S050,2,6.029094375991379,1760.2560599522385,2,True,-0.25224750242520777,False,0.0,False,0.0
S050_corridor,S050,101,6.244048051526127,1024.6252350381783,1,True,-0.23949691782003768,False,0.0,False,0.0
S050_corridor,S050,102,5.882203915283823,4400.378448583579,3,True,-0.326460956942217,False,0.0,False,0.0
M100_benchmark,M100,1,4.695223710775576,13421.147339188003,0,True,-2.4745110993332298,True,0.02770702924209445,False,0.0
M100_benchmark,M100,2,4.557466060259508,11212.055539948477,0,True,-1.5742102795857518,True,-0.2533124973158811,False,0.0
M100_benchmark,M100,101,4.48649730683444,17476.914816766755,0,True,-2.3421187481410404,True,-0.025106446633841095,False,0.0
M100_benchmark,M100,102,4.5860027757169135,14169.516648568017,0,True,-2.372904141776537,True,0.006131449150185375,False,0.0
M100_corridor,M100,1,5.825128323881657,7828.867069703336,3,True,-0.3059956435371207,True,-0.002652519894052574,False,0.0
M100_corridor,M100,2,5.788728745913476,4803.311530220848,1,True,-0.33211699193984145,True,-0.0013050629896111943,False,0.0
M100_corridor,M100,101,3.7505154081933894,25189.097997341367,2,True,-0.9592410078613685,True,-0.13713723828339308,False,0.0
M100_corridor,M100,102,4.734941188565692,23571.85224572287,1,True,-2.6151936795158157,True,-0.13404230974257825,False,0.0
