scope,utilization_low,utilization_high,selection,cells,ec_changed,ec_changed_share,max_abs_delta_F1,max_abs_delta_F2
S025,0.0,0.5,all,441,0,0.0,0.0,0.0
S025,0.5,0.85,all,76,0,0.0,0.0,0.0
S025,0.85,0.97,all,35,17,0.4857142857142857,0.006211180122947191,55.70051145333082
S025,0.97,1.01,all,88,88,1.0,1.0104476674964937,2113.5519705849274
S025,,,capacity_reroutes >0,97,97,1.0,1.0104476674964937,2113.5519705849274
S025,,,capacity_reroutes =0,543,8,0.014732965009208104,0.012658227847002657,1.1368683772161603e-13
S050,0.0,0.5,all,113,0,0.0,0.0,0.0
S050,0.5,0.85,all,38,0,0.0,0.0,0.0
S050,0.85,0.97,all,10,5,0.5,0.0,52.36856249058337
S050,0.97,1.01,all,79,79,1.0,0.13872491145189958,4806.03928517942
S050,,,capacity_reroutes >0,84,84,1.0,0.13872491145189958,4806.03928517942
S050,,,capacity_reroutes =0,156,0,0.0,0.0,0.0
M100,0.0,0.5,all,76,0,0.0,0.0,0.0
M100,0.5,0.85,all,32,0,0.0,0.0,0.0
M100,0.85,0.97,all,3,0,0.0,0.0,0.0
M100,0.97,1.01,all,129,125,0.9689922480620154,4.45862606926003,18359.55825763319
M100,,,capacity_reroutes >0,115,115,1.0,4.45862606926003,18359.55825763319
M100,,,capacity_reroutes =0,125,10,0.08,1.4342209613830845,7897.484912772881
pooled,0.0,0.5,all,630,0,0.0,0.0,0.0
pooled,0.5,0.85,all,146,0,0.0,0.0,0.0
pooled,0.85,0.97,all,48,22,0.4583333333333333,0.006211180122947191,55.70051145333082
pooled,0.97,1.01,all,296,292,0.9864864864864865,4.45862606926003,18359.55825763319
pooled,,,capacity_reroutes >0,296,296,1.0,4.45862606926003,18359.55825763319
pooled,,,capacity_reroutes =0,824,18,0.021844660194174758,1.4342209613830845,7897.484912772881
