planning_model,model_id,solver_seed,solver_repeat,low_budget,high_budget,low_run_key,high_run_key,planning_hv_gain,planning_relative_hv_gain,planning_igd_gain,representative_planning_F1_change,representative_planning_F2_change,representative_planning_F3_change,execution_hv_gain,execution_relative_hv_gain,execution_igd_gain,representative_execution_F1_change,representative_execution_F2_change,representative_execution_F3_change,execution_min_satisfaction_change,execution_zero_service_ratio_change,runtime_ratio,small_planning_change
No-PR,PR0_HT1_EC1,60000,0,500,2000,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:851e264b20f4,0.30217183542937354,0.5424140959691812,0.16354840025594794,-0.16267715500160485,14537.0,-0.07302865838028083,0.149336479896609,0.6946107178162647,0.14051531644137072,-0.13353115925432846,-52831.83333333334,0.1825652018596884,-0.1825652018596884,0.11428571428571428,11.102759073902979,False
No-PR,PR0_HT1_EC1,60000,0,2000,5000,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:851e264b20f4,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:9081e514fb6f,0.16015094613949432,0.1863826609812755,0.04496640802718415,0.09265979434539418,-21737.0,-0.03339207118460763,0.23547366167236683,0.6463205407611137,0.11503894131420367,0.011245903488464215,49593.0,-0.07405908539294614,0.07405908539294614,-0.11428571428571428,2.6424617241797237,False
No-PR,PR0_HT1_EC1,60001,1,500,2000,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:234cd11ee600,0.33401977361816904,0.7763415135066026,0.16870682207136894,0.04108010378154603,-24906.0,-0.16010571323295153,0.32360016118830254,1.602405557293849,0.21821466032854558,-0.06460735192314182,-24871.99999999997,-0.06267922982624441,0.06267922982624441,-0.17142857142857143,11.695314439533218,False
No-PR,PR0_HT1_EC1,60001,1,2000,5000,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:234cd11ee600,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:40665960a588,0.17858620681025428,0.2336695272978039,0.10019726795019994,-0.17527900272168928,-22946.0,-0.02779356880546402,0.16902274667061112,0.3216132186038045,0.0945617228579329,-0.08509473624409569,-47723.166666666686,-0.2758579196406572,0.2758579196406572,0.0,2.6153762725223513,False
No-PR,PR0_HT1_EC1,60002,2,500,2000,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:7b250956fe84,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:1f998f0148e6,0.26477779429184967,0.5148714547563105,0.11651107016141285,-0.25759009166644287,-2445.0,-0.0817212112406196,0.08505343153840933,0.23732299842151755,0.025194482151948305,-0.22516627876861506,-43783.16666666664,0.05998356614873046,-0.05998356614873046,0.17142857142857143,3.3804645123641652,False
No-PR,PR0_HT1_EC1,60002,2,2000,5000,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:1f998f0148e6,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:808bda2358e2,0.12405446109988538,0.1592406196701661,0.05245922297773074,0.03853631665340407,-2686.0,-0.04460810261207371,0.15931299054391035,0.3592659773290312,0.09012296531846314,0.03853631665416346,22018.83333333333,0.0,0.0,0.0,2.57727515435604,False
No-PR,PR0_HT1_EC1,60003,3,500,2000,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:8f1a51c5366d,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c9ecedbe9866,0.364083141231925,0.6446579853347165,0.18116449828127368,0.18763288447874604,-23593.0,-0.14052859855564748,0.41987161905304266,1.4729169119244019,0.2335213330289475,0.11276663933142039,-17079.333333333314,-0.16963050217054843,0.16963050217054843,0.0,4.26764528781652,False
No-PR,PR0_HT1_EC1,60003,3,2000,5000,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c9ecedbe9866,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c710c850bf31,0.09701795002289937,0.10444924206612521,0.03384887287401715,-0.016525980464886736,4373.0,-0.014399590547327534,0.13856154533978526,0.19655990002346468,0.05631834381350859,-0.021575590670585676,-30082.666666666686,0.0811531832205219,-0.0811531832205219,0.0,2.5753599278700046,False
No-PR,PR0_HT1_EC1,60004,4,500,2000,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:2a86c697db65,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:1fc0c8443b44,0.2547474673026554,0.47718755801204926,0.09243560750409449,0.1424423790534286,-51.5,-0.15857642555147322,0.15434303610127564,0.4395068304485324,0.12752470546265826,0.02320070648120076,-11384.833333333343,0.21984016693477315,-0.21984016693477315,0.0,4.279855008124915,False
No-PR,PR0_HT1_EC1,60004,4,2000,5000,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:1fc0c8443b44,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:5cf91a1f9acc,0.19806615314059717,0.2511619592978614,0.0819796885466107,-0.0003694273584322616,-169.0,0.0,0.2713791522215647,0.5368356409948546,0.1158400288109013,0.05889705031667969,11559.666666666657,-0.2241215652675237,0.2241215652675237,0.0,2.9474470692733603,False
No-HT,PR1_HT0_EC1,60000,0,500,2000,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:7506b3adc82a,0.2876689079276651,0.5959642338623979,0.12143324701952965,0.006063519125591554,19848.33333333333,-0.3468252741613469,0.35875883904282024,0.6719340100007194,0.14083539999198003,0.007835312180162646,1924.666666666657,-0.3517647653934546,0.3517647653934546,0.0,12.084035589126126,False
No-HT,PR1_HT0_EC1,60000,0,2000,5000,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:7506b3adc82a,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:1639f57d8023,0.13663683701860818,0.177366631379064,0.06342634602340387,-0.0077396064492347705,-26481.33333333333,0.0,0.11321101243771081,0.12682169568145865,0.06460998806893342,-0.006853709921949225,-25661.0,0.0,0.0,0.0,2.1970418032788532,False
No-HT,PR1_HT0_EC1,60001,1,500,2000,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:e483dd3402ce,0.3183288031058473,0.931560077399752,0.17505247468931906,-0.293255110807356,13430.0,-0.2560037777393518,0.39771917103354093,1.18337808456403,0.23198870649290565,-0.293255110807356,-4495.666666666657,-0.2560037777393518,0.2560037777393518,0.0,13.053302871218504,False
No-HT,PR1_HT0_EC1,60001,1,2000,5000,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:e483dd3402ce,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:78ea841c0ff5,0.23882935312663467,0.36183819952279583,0.05283209795451613,-0.003688704248014929,-6021.5,-0.20816407029269612,0.2639129930000794,0.35964897077004315,0.08250152533923866,-0.003688704248014929,605.166666666657,-0.20816407029269612,0.20816407029269612,0.0,2.013775696869937,False
No-HT,PR1_HT0_EC1,60002,2,500,2000,WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:08ec9ca4fa4d,WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:e31b85b97044,0.4630438308456474,1.0720106367690256,0.19860015803427367,-0.25901649653146297,30606.666666666686,-0.34376018241346173,0.5344213583006274,1.145368888446135,0.24299687560774377,-0.25635880694960633,-3131.333333333343,-0.34376018241346173,0.34376018241346173,0.0,3.9150329671328015,False
