max_evaluations,planning_model,solver_runs,mean_planning_hypervolume,median_planning_hypervolume,min_planning_hypervolume,max_planning_hypervolume,mean_planning_igd,median_planning_igd,min_planning_igd,max_planning_igd,mean_execution_hypervolume,median_execution_hypervolume,min_execution_hypervolume,max_execution_hypervolume,mean_execution_igd,median_execution_igd,min_execution_igd,max_execution_igd,mean_runtime_seconds,median_runtime_seconds,min_runtime_seconds,max_runtime_seconds,mean_execution_front_size,median_execution_front_size,min_execution_front_size,max_execution_front_size,mean_execution_min_satisfaction,median_execution_min_satisfaction,min_execution_min_satisfaction,max_execution_min_satisfaction,mean_execution_zero_service_ratio,median_execution_zero_service_ratio,min_execution_zero_service_ratio,max_execution_zero_service_ratio,mean_representative_execution_F1,median_representative_execution_F1,min_representative_execution_F1,max_representative_execution_F1,mean_representative_execution_F2,median_representative_execution_F2,min_representative_execution_F2,max_representative_execution_F2
500,Full,5,0.5031952564148178,0.4715162555831126,0.39327624162155655,0.7100627991591317,0.29008905519259803,0.2858234677121124,0.23469539316068613,0.3440230785426195,0.5245087399985449,0.4871343803463628,0.41733351800934715,0.7329954994006834,0.31153804979541116,0.32209563999283175,0.23113684136452614,0.367640085054827,19.76460210820078,22.69311204101541,8.422305999993114,30.041123749979306,21.8,22,18,27,0.5032856435296708,0.4430379746845574,0.39582783205878513,0.7973068745568526,0.0,0.0,0.0,0.0,2.617861602853825,2.6443045238338136,2.4690466492686394,2.692620336102448,141470.56666666668,149233.6666666667,115276.66666666669,155379.5
500,No-EC,5,0.5031952564148178,0.4715162555831126,0.39327624162155655,0.7100627991591317,0.29008905519259803,0.2858234677121124,0.23469539316068613,0.3440230785426195,0.5245087399985449,0.4871343803463628,0.41733351800934715,0.7329954994006834,0.31153804979541116,0.32209563999283175,0.23113684136452614,0.367640085054827,6.400200508598937,7.929561791999731,2.8790981670026667,9.981354457995621,21.8,22,18,27,0.5032856435296708,0.4430379746845574,0.39582783205878513,0.7973068745568526,0.0,0.0,0.0,0.0,2.617861602853825,2.6443045238338136,2.4690466492686394,2.692620336102448,141470.56666666668,149233.6666666667,115276.66666666669,155379.5
500,No-HT,5,0.47617963124782764,0.45151556637241796,0.3417158064506083,0.6730322776535891,0.30288234198581754,0.3091397796532684,0.23460123998973192,0.3607759694487853,0.5245688638356032,0.48448011866973556,0.33608799775945253,0.8017632316609296,0.3302146774729446,0.33752547687485596,0.22314066670092234,0.4318645676785816,18.899907732999417,23.847887582989642,8.597391083021648,29.156903041002806,15.6,15,12,20,0.4872347413076568,0.445542109163398,0.33313902652480465,0.7973068745568526,0.0,0.0,0.0,0.0,2.7303808015060644,2.7235168585271534,2.462430999719607,3.2344146010346266,138907.6666666667,143920.33333333334,117587.66666666669,150927.0
500,No-PR,5,0.5200433627294627,0.5338518639587474,0.43024850250434055,0.5647694584018645,0.2648102336799619,0.25052749332535057,0.24314604939008747,0.3322792966521862,0.2823121767011817,0.28506130634651355,0.20194647960083228,0.35838680660583516,0.4651351070744217,0.45762162207431684,0.3786226585036078,0.5301309662775402,18.154919833800523,22.64540770900203,8.348119083995698,28.340329667000333,9.2,9,7,12,0.13825582967765512,0.16890664729635319,0.0,0.2798237330835036,0.03428571428571429,0.0,0.0,0.17142857142857143,2.6899488789249593,2.6575653862140713,2.5104525142146787,2.9632283065955596,152738.3,157169.66666666666,133652.6666666667,163815.3333333333
2000,Full,5,0.9141557027112936,0.9314697371705977,0.7835871002975721,1.0182428190431043,0.12570670837775497,0.11712386956679398,0.08748964366216123,0.17488898274674972,0.8972038460313148,0.9103485319082216,0.8005635030938593,0.9757841754037933,0.15553103542675825,0.14808801018132484,0.12277198465217598,0.21269447011343012,106.06659845820396,98.86571504201856,96.04528725001728,126.2792894160084,46.8,47,36,60,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.0,0.0,0.0,0.0,2.4649867675375265,2.4657341290705475,2.4601970662449233,2.4686039062516434,150861.73333333334,153057.33333333334,129084.33333333333,173180.6666666667
2000,No-EC,5,0.9141557027112936,0.9314697371705977,0.7835871002975721,1.0182428190431043,0.12570670837775497,0.11712386956679398,0.08748964366216123,0.17488898274674972,0.8972038460313148,0.9103485319082216,0.8005635030938593,0.9757841754037933,0.15553103542675825,0.14808801018132484,0.12277198465217598,0.21269447011343012,39.73978216658579,44.46948908298509,30.603886041993974,46.841877624974586,46.8,47,36,60,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.0,0.0,0.0,0.0,2.4649867675375265,2.4657341290705475,2.4601970662449233,2.4686039062516434,150861.73333333334,153057.33333333334,129084.33333333333,173180.6666666667
2000,No-HT,5,0.7719756983472242,0.7703638274923934,0.5954946599162099,0.9389919777276204,0.1589388099848898,0.17159552999356756,0.11826578578993115,0.18572349475946626,0.8692802365248907,0.8926785896481455,0.669994402416393,1.0489064429837205,0.15882734762252215,0.16901253075144912,0.09523283630526137,0.22431764011103408,104.41967752500204,104.49383937500534,93.91858120801044,114.15023662502063,33.6,35,23,40,0.7028778714175132,0.7973068745568526,0.533325929152852,0.7973068745568526,0.0,0.0,0.0,0.0,2.4683323447526755,2.4686524308973574,2.4635458690763645,2.4720390603123388,145691.5,145845.0,128947.0,165180.16666666666
2000,No-PR,5,0.8240033651042571,0.7885993312614028,0.7642682761225096,0.9288525996337895,0.12033695402514236,0.13401642316393772,0.06431492333529978,0.16357247458081725,0.5087531222567095,0.5055162725758102,0.3643295343748021,0.7049329253995562,0.3161410075917276,0.30833698768765266,0.22410028904536933,0.3896156498361695,96.60444514160045,96.64256750000641,95.00125116700656,97.94105066699558,16.2,14,13,25,0.0922399890883753,0.05998356614873046,0.0,0.3385371494669016,0.05714285714285714,0.0,0.0,0.17142857142857143,2.632481390098266,2.623219153546099,2.524034226959743,2.7380620278269445,122748.06666666668,122267.83333333334,107258.0,132297.6666666667
5000,Full,5,1.0710851540435578,1.102414680140895,0.9740435830892972,1.1405054541731543,0.0629171963429348,0.0617956019083839,0.025402824089031537,0.1081976860599693,1.023234562187017,1.0433096314032075,0.9598472210993552,1.0730925155814663,0.1011292000536177,0.09786327490688483,0.07722420090859823,0.1302292984646126,343.3044656086073,362.357636834,240.36356850000448,377.98556575001567,70.2,73,58,86,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.0,0.0,0.0,0.0,2.462811521375346,2.4628047711066134,2.458425273190352,2.4655579156582474,143408.1,132581.33333333334,125778.5,172072.66666666666
5000,No-EC,5,1.0710851540435578,1.102414680140895,0.9740435830892972,1.1405054541731543,0.0629171963429348,0.0617956019083839,0.025402824089031537,0.1081976860599693,1.023234562187017,1.0433096314032075,0.9598472210993552,1.0730925155814663,0.1011292000536177,0.09786327490688483,0.07722420090859823,0.1302292984646126,86.42403847499517,93.57812325001578,54.00909541698638,97.99171312499675,70.2,73,58,86,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.7973068745568526,0.0,0.0,0.0,0.0,2.462811521375346,2.4628047711066134,2.458425273190352,2.4655579156582474,143408.1,132581.33333333334,125778.5,172072.66666666666
