run_key,case_id,instance_seed,solver_seed,solver_repeat,model_id,physical_instance_hash,scenario_family,zone,planning_model,max_evaluations,evaluation_space,point_index,F1,F2,F3
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,0,2.460869302565837,129014.0,-0.0
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,1,2.4641011541628393,113961.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,2,2.5387754996522807,188717.83333333334,-0.07405908539294614
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,3,2.5471726915208928,131415.0,-0.044676409186649835
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,4,2.566376532738068,169809.6666666667,-0.05998356614873046
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,5,2.577172855877801,163635.0,-0.05998356614691147
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,6,2.5858450421375947,172048.5,-0.06267922982442542
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,7,2.5969414452804678,103753.0,-0.05998356614873046
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,8,2.6575653862140713,160089.83333333334,-0.1825652018596884
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,9,2.677972321823473,140702.0,-0.07405908539203665
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,10,2.6871543302254386,161031.3333333333,-0.24326123128321342
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,replay,11,2.7469262888987744,130938.66666666667,-0.07405908539112716
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,0,2.461025863688497,123600.66666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,1,2.462430999719607,143920.33333333334,-0.445542109163398
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,2,2.464370959929207,108721.33333333334,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,3,2.4652372501390794,102928.5,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,4,2.4728946784149795,100641.66666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,5,2.4976886485682535,94120.66666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,6,2.518693996515501,107705.66666666667,-0.0026155187479162123
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,7,2.549726032491752,128901.50000000001,-0.07405908539294614
