max_evaluations,solver_seed,solver_repeat,reduced_model,full_run_key,reduced_run_key,full_hv_advantage,full_igd_advantage,hv_preferred_model,igd_preferred_model,representative_relation,representative_reduced_minus_full_F1,representative_reduced_minus_full_F2,representative_reduced_minus_full_F3
500,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,0.2870141386045115,0.2210783738044283,Full,Full,Full_dominates,0.013260862380257699,44813.16666666666,0.2523570011544507
500,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,-0.03191255752262068,0.0007953382703172474,reduced,Full,tradeoff,-0.18187352411420665,28643.666666666657,-0.010619906149258895
500,60000,0,No-EC,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
500,60001,1,No-PR,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,0.2811266295527938,0.2044560080233665,Full,Full,Full_dominates,0.14720152673514697,7935.999999999971,0.4430379746845574
500,60001,1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,0.14698511139417358,0.10976892768574986,Full,Full,tradeoff,0.13655177475997116,-4048.333333333343,0.10989894815975276
500,60001,1,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
500,60002,2,No-PR,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:6bf81821659d,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:7b250956fe84,0.05894671140351199,0.010982573448780841,Full,Full,Full_dominates,0.3086341978910583,11147.0,0.3358442659100547
500,60002,2,No-HT,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:6bf81821659d,WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:08ec9ca4fa4d,-0.0492597024732262,-0.01894533968789297,reduced,reduced,tradeoff,0.06892274982265212,-1741.333333333314,-0.057718860084605694
500,60002,2,No-EC,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:6bf81821659d,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:abbe524f5fc3,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
500,60003,3,No-PR,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:0c451e3d1f0d,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:8f1a51c5366d,0.44793419305416987,0.2264847807097907,Full,Full,tradeoff,0.04140586494603937,-6415.5,0.6284002272604994
500,60003,3,No-HT,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:0c451e3d1f0d,WEN38:i1:nsga2:s60003:r3:PR1_HT0_EC1:5993863257aa,-0.06876773226024613,-0.007996174663603806,reduced,reduced,reduced_dominates,-0.0027992721393985676,-18461.5,0.0
500,60003,3,No-EC,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:0c451e3d1f0d,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:3ec21dc8c2c8,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
500,60004,4,No-PR,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:f55fe0988612,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:2a86c697db65,0.13596114387182823,0.10498355040868601,Full,Full,tradeoff,-0.15006607159683227,-1142.0,0.1655096002505161
500,60004,4,No-HT,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:f55fe0988612,WEN38:i1:nsga2:s60004:r4:PR1_HT0_EC1:6d949d439727,0.0026542616766272453,0.009760386783096875,Full,Full,tradeoff,0.5417942649321787,-17207.0,0.0386943291841817
500,60004,4,No-EC,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:f55fe0988612,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:daf2b42676e8,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
2000,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:851e264b20f4,0.5460189975334195,0.24152763965484464,Full,Full,tradeoff,0.05648378114037289,-29155.666666666657,0.7973068745568526
2000,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:7506b3adc82a,0.01766994226007612,0.020924520570124283,Full,Full,Full_dominates,0.0027158660803996426,9431.333333333343,0.0
2000,60000,0,No-EC,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:19d5b96ee482,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
2000,60001,1,No-PR,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:234cd11ee600,0.3316389067638016,0.14153582226814138,Full,Full,Full_dominates,0.24273266492008538,3213.3333333333576,0.7346276447306082
2000,60001,1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:e483dd3402ce,0.12337837875994295,0.033074695766164675,Full,Full,Full_dominates,0.003435154060695389,11605.333333333358,0.20816407029269612
2000,60001,1,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:4e6755c4f558,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
2000,60002,2,No-PR,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:1f998f0148e6,0.4986972340535183,0.22612862958431043,Full,Full,tradeoff,0.27232789875639707,-33025.16666666667,0.7973068745568526
2000,60002,2,No-HT,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:e31b85b97044,-0.05887710658543799,-0.02160167700815885,reduced,reduced,tradeoff,0.0014239225069996309,-5261.666666666686,0.0
2000,60002,2,No-EC,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:785d4370cf5e,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
2000,60003,3,No-PR,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c9ecedbe9866,0.27085125000423704,0.10132830439319335,Full,Full,tradeoff,0.16302208730117584,-41296.0,0.45876972508995095
2000,60003,3,No-HT,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,WEN38:i1:nsga2:s60003:r3:PR1_HT0_EC1:097c71e9a8cb,-0.07312226757992724,-0.027539148346914608,reduced,reduced,tradeoff,0.0033488028314412333,-8000.500000000029,0.0
2000,60003,3,No-EC,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:511599eb579d,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
2000,60004,4,No-PR,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:1fc0c8443b44,0.29504723051804904,0.09252946492435671,Full,Full,tradeoff,0.10290668068566777,-40304.83333333334,0.7373233084081221
2000,60004,4,No-HT,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,WEN38:i1:nsga2:s60004:r4:PR1_HT0_EC1:3123814e608b,0.1305691006774663,0.01162316999760396,Full,Full,tradeoff,0.005804140596208818,-33625.666666666686,0.2639809454040005
