u,v,base_capacity_pcu_h,minimum_open_period_capacity_pcu
1,4,1200.0,9600.0
1,11,1200.0,9600.0
1,13,1200.0,9600.0
1,17,1200.0,2880.0
2,3,1000.0,8000.0
2,21,1200.0,9600.0
2,23,1200.0,9600.0
3,32,1000.0,8000.0
3,36,1000.0,8000.0
4,5,1000.0,2400.0
4,11,600.0,4800.0
5,6,1000.0,8000.0
6,7,1000.0,8000.0
6,10,1000.0,8000.0
7,8,800.0,6400.0
8,9,600.0,4800.0
9,10,600.0,4800.0
11,12,500.0,1200.0
11,18,500.0,1200.0
13,14,1000.0,2400.0
13,16,1000.0,8000.0
13,17,1000.0,8000.0
14,15,1000.0,8000.0
16,20,800.0,6400.0
16,22,600.0,4800.0
17,19,800.0,1920.0
17,22,800.0,1920.0
18,25,400.0,960.0
19,25,800.0,6400.0
20,21,600.0,4800.0
21,23,600.0,4800.0
22,23,800.0,6400.0
22,24,800.0,1920.0
23,24,1000.0,8000.0
24,27,1000.0,8000.0
24,30,500.0,1200.0
25,26,600.0,4800.0
26,27,1000.0,8000.0
26,28,800.0,1920.0
26,34,600.0,1440.0
28,29,800.0,1920.0
30,31,800.0,6400.0
31,32,600.0,4800.0
32,33,800.0,6400.0
32,36,600.0,4800.0
33,34,500.0,1200.0
33,36,1000.0,8000.0
34,35,400.0,960.0
35,37,800.0,6400.0
36,37,600.0,1440.0
37,38,600.0,4800.0
